The Little Things Give You Away, Linkin Park
The Main Monkey Business, Rush
The One, Kylie Minogue
The Past Is A Grotesque Animal, Of Montreal
The Permanent Rain, The Dangerous Summer
The Prayer, Bloc Party
The Pretender, Foo Fighters
The Queen And I, Gym Class Heroes
The River, Good Charlotte
The Sacrilegious Scorn, Dimmu Borgir
The Sound of Truth, As I Lay Dying
The State Of Massachusetts, Dropkick Murphys
The Story, Brandi Carlile
The Sweet Escape, Gwen Stefani
The Thing About Love, Alicia Keys
The True Story Of Harold Shipman, Jonathan King
The Truth Beneath The Rose, Within Temptation
The Unfortunates, State Radio
The Unthinking Majority, Serj Tankian
The Unwinding Cable Car, Anberlin
The Water, Feist
The Way I Are, Timbaland
The Way of the Fist, Five Finger Death Punch
The Way You Move Me, Gretchen Peters
The World According To Garp, Al Stewart
The Worrying Kind, The Ark
There! Right There!, Cast of Legally Blonde
These Bones, Dashboard Confessional
These Hard Times, Matchbox Twenty
"They're Not Horses, They're Unicorns", Bayside
Thick As Thieves, Dashboard Confessional
"This Ain't A Scene, It's An Arms Race", Fall Out Boy
This House Is A Circus, Arctic Monkeys
This Is How It Feels, The Veronicas
This Is Love, Kelly Rowland
This is My Now, Jordin Sparks
This Is The Life, Amy MacDonald
This is Thirteen, Anvil
This Is Why I'm Hot, MIMS
This Love, The Veronicas
This Song, Enemy
This Town, Gretchen Peters
This Train, Bo Bice
Thnks Fr Th Mmrs, Fall Out Boy
Thrash Unreal, Against Me!
Thriller, Fall Out Boy
Ticks, Brad Paisley
Tied Down, Colbie Caillat
Till the Last Teardrop Falls, Robin Beck
Time To Pretend, MGMT
Time Won't Let Me Go, The Bravery
Tina, Flyleaf
To Say Goodbye, Gretchen Peters
Today is Gonna Be a Great Day, Bowling for Soup
Today The Sun's On Us, Sophie Ellis-Bextor
Tonight the Streets Are Ours , Richard Hawley
Tonton Macoute, Al Stewart
Totgeliebt, Tokio Hotel
Tournament of Hearts, The Weakerthans
Tranquilize, The Killers
Treat Me Right, Backstreet Boys
True Love's Kiss, Amy Adams and James Marsden
Two Sisters, Fiction Plane
Typical, MUTEMATH
UFO, Newton Faulkner
UFO, Sneaky Sound System
Umbrella, Rihanna
Unbound (The Wild Ride), Avenged Sevenfold
Undignified, Sugababes
Undo, Rush of Fools
United Abominations, Megadeth
Unmistakable, Backstreet Boys
Until The End Of Time, Justin Timberlake
Untouched, The Veronicas
Up to the Mountain, Patty Griffin
Us Against The World, Westlife
Valentine's Day, Linkin Park
Valerie, Mark Ronson
Vegas, Sara Bareilles
Vertebrae By Vertebrae, Björk
Videotape, Radiohead
Vile Pervert, Jonathan King
Vintage Clothes, Paul McCartney
Wadsyaname, Nelly
Wait A Minute (Just A Touch), Estelle
Wait For You, Elliott Yamin
Waiting In The Weeds, Eagles
Wake, Linkin Park
Wake Up Call, Maroon 5
Walk Away From The Sun, Seether
Washed By The Water, Needtobreathe
Washington Is Next!, Megadeth
Wasted, Cartel
Wasteland, The View
Watching Airplanes, Gary Allan
Way Out of Here, Porcupine Tree
We Hold On, Rush
We Touched The Sun, Gary Allan
We Won't Be Quiet, David Crowder Band
Wedding Day, Seal
Weightless, Wet Wet Wet
Weighty Ghost, Wintersleep
Weird Fishes / Arpeggi, Radiohead
Well Enough Alone, Chevelle
Well Worn Hand, Editors
What About The Baby, Wyclef Jean
What Have You Done, Within Temptation
What I Cannot Change, LeAnn Rimes
What I've Done, Linkin Park
What Love Can Do, Brian Wilson
What Time Is It?, High School Musical Cast
What You Want, Cast of Legally Blonde
Whatever, Jennifer Batten
Whatever It Takes, Lifehouse
Wheel Of The World, Carrie Underwood
When I Die, Legendary Shack Shakers
When I'm Gone, Simple Plan
When You Look Me in the Eyes, Jonas Brothers
When You Touch Me, Freemasons
When You're Gone, Avril Lavigne
Whenever You're Around, Jill Scott
Where Angels Hang Around, James Otto
Where Is Home?, Bloc Party
Whipped Into Shape, Cast of Legally Blonde
"Whiskey, Women and Time", Bo Bice
White Bird, KT Tunstall
Who's Gonna Build Your Wall?, Tom Russell
Who's Got a Match?, Biffy Clyro
Why, Gabrielle
Wicker Plane, State Radio
With Every Heartbeat, Robyn
With You, Chris Brown
Witness, Bo Bice
Won't Go Home Without You, Maroon 5
Wonder Woman, Trey Songz
Wooderson, The Gaslight Anthem
Words, Lucinda Williams
Work, Kelly Rowland
Work In Progress (Growing Pains ), Mary J. Blige
Workin' Them Angels, Rush
Working Man's Cafe, Ray Davies
Worlds Collide, Apocalyptica
Worried About Ray, The Hoosiers
Wow, Kylie Minogue
Yahhh!, Soulja Boy
Yeah, Kelly Clarkson
Yellow Brick Road, Raine Maida
Yesterday's Rain, Gary Allan
Yo George, Tori Amos
You And Me, One Night Only
You And Me Together, Hannah Montana
You Are Everything, Matthew West
You Are Not Alone, Eagles
You Don't Know What Love Is (You Just Do as You're Told), The White Stripes
You Reign, MercyMe
You Talk, Babyshambles
You Tell Me, Paul McCartney
You're Gonna Miss This, Trace Adkins
You're Still God, Margaret Becker
Your Love Alone Is Not Enough, Manic Street Preachers
Youth Of Today, Amy MacDonald
