$20 Fine, Jimi Hendrix
No Tears Left to Cry, Ariana Grande
No Tourists, The Prodigy
Nobody, Mitski
Nobody Loves Me Like You, Chris Tomlin
Nonbeliever, Lucy Dacus
Nonstop, Drake
Normal, Eminem
Normalization, Parquet Courts
Nosferatu (The Vampires Waltz), Saxon
Not A Damn Thing Changed, Lukas Graham
Not Alike, Eminem
Not Another Word, We Are Scientists
Not Dead Yet, Bullet For My Valentine
Not Today, Alessia Cara
Nothing Breaks Like A Heart, Mark Ronson
Nothing To Do Town, Dylan Scott
Nothing's Beyond Broken, Chris August
Noticed, Lil Mosey
Nuestro Planeta, Kali Uchis
Nuh Ready Nuh Ready, Calvin Harris
Nuketown, Ski Mask the Slump God
Number 10, Interpol
Ocean, TK Kravitz
Ocean, Martin Garrix
Ocean Dreamer, Raul Midon
Oh My, Natalie Prass
"Oh, What A World", Kacey Musgraves
Ohio, Andrew McMahon in the Wilderness
Okra," Tyler, the Creator"
Old Castles, Paul Weller
Old Friends, Ben Rector
Old Town Road, Lil Nas X
On Me, Meek Mill
On My Love, We the Kings
On My Way to You, Cody Johnson
On The Soul Side Of Town, Tower of Power
Once An Addict (Interlude), J. Cole
Once In My Life, The Decemberists
One Day, Logic
One in One Out, We Are Scientists
One Kiss, Calvin Harris
One Minute, XXXTENTACION
One More Day, Snoop Dogg
One Point Perspective, Arctic Monkeys
One Song at a Time, Mark Knopfler
One That Got Away, Michael Ray
One Track Mind, 30 Seconds to Mars
Only Jesus, Casting Crowns
Only You, Cheat Codes
Oom Sha La La, Haley Heynderickx
Opening Station, Paul McCartney
OTW, Khalid
Our Country, Ray Davies
Out Of Love, Alessia Cara
Over Again, Mike Shinoda
Over And Over And Over, Jack White
Over It, Bullet For My Valentine
Over My Head, Echosmith
Palo Santo, Years & Years
Panic Room, Au/Ra
Parachute, Hawk Nelson
Paradise, George Ezra
Paradise, BTS
Parallel Line, Keith Urban
Paramedic!, SOB x RBE
Paranoid, Post Malone
Party For One, Carly Rae Jepsen
Party Of One, Brandi Carlile
Patricia, Florence + the Machine
Peak, Drake
People Get Old, Lori McKenna
People Give In, Manic Street Preachers
People Want Peace, Paul McCartney
Perfect, Anne-Marie
Performance, White Denim
Personal, Against The Current
Pete Davidson, Ariana Grande
Photograph, J. Cole
Piece of Me , Bullet For My Valentine
Piece of Your Heart, Meduza
Pink Hearts, Hawthorne Heights
Pioneers, For King & Country
Pipe, Christina Aguilera
Pirate Song, Kenny Chesney
Place To Start, Mike Shinoda
Play, Jax Jones
Playboy Style, Clean Bandit
Playinwitme, Kyle
Please Mr Gunman, Mudhoney
Plug Walk, Rich The Kid
Polaroid, Jonas Blue
Porkies, Don Broco
Portrait, Mariah Carey
Postcard, First Aid Kit
Poundshop Kardashians, Sam Fender
Power, Peace
Powerglide, Rae Sremmurd
Praise the Lord (Da Shine), A$AP Rocky
Pray For Me, Kendrick Lamar
Prayers, Good Charlotte
Predator, Saxon
Predictable, You Me at Six
Preppy Boy, John Grant
Pressure, Muse
Pretty Shining People, George Ezra
Prey, Parkway Drive
Primadonna Like Me, The Struts
Private Life, tUnE-yArDs
Privilege, The Weeknd
Promises, Calvin Harris
Propaganda, Muse
Prosperity Gospel, Mudhoney
Psycho, Post Malone
Psychosis, Benga
Purity, A$AP Rocky
Push Back, Ne-Yo
Pushing Up Daisies (Love Alive), Brothers Osborne
PYNK, Janelle Monáe
Quarter Past Midnight, Bastille
Queen, Shawn Mendes
Queen Of Diamonds, Tom Odell
Queendom, Aurora
Queens Don't, RaeLynn
Questions, Cozz
R.E.M., Ariana Grande
R.I.P. Screw, Travis Scott
Rabbit's Revenge, Tom Morello
Radioland, Ashley McBryde
Rainbow, Kacey Musgraves
Rainier Fog, Alice in Chains
Rap Devil, Machine Gun Kelly
Raw, Sigrid
Really Gone, Chvrches
Rearview Town, Jason Aldean
Rebel Heart, First Aid Kit
Reborn, Kids See Ghosts
Records From Your Room, The Innocence Mission
Redemption, Babes Wodumo
Redemption, Jay Rock
Rednecker, Hardy
Refute, Stephen Malkmus & the Jicks
Relentless, Arkells
Remember When, Bad Wolves
Requiem for A Private War, Annie Lennox
Rescue, Lauren Daigle
Rescue Me, 30 Seconds to Mars
Respect Commander, Jack White
Resurrection Power, Chris Tomlin
Revolution, Michael W. Smith
Rich & Sad, Post Malone
Rich Sex, Nicki Minaj
Ride On A Rainbow, Raul Midon
Right Now, Nick Jonas
Right to Be, Turnstile
Ring, Cardi B
Ring Ring, Jax Jones
"Ring the Alarm pt. 1, pt. 2, pt.3", The Black Eyed Peas
Rise, Johnny Marr
Rise, Jonas Blue
Rise Up, Cliff Richard
River, Josh Groban
Road to Happiness, Cam
Roaring 20s, Panic! At The Disco
Rock Dreams, The Lemon Twigs
Rock the Rock, Axl Rose
Rockin' With The Best, P.O.D.
Roll Me Under, Stone Temple Pilots
Rose of Sharon, Mumford & Sons
Rose Tinted Cheeks," Tyler, the Creator"
Roses, Benny Blanco
Royal Beggars, Architects
Ruin My Life, Zara Larsson
Ruins, First Aid Kit
Run & Hide, Nicki Minaj
Run Away From It All, Blackberry Smoke
Run for Your Life, K.Flay
Run Run, Ray BLK
Run With the Rhythm, Marmozets
Runaway, Lil Peep
Runaway Train, Culture Club
Sad!, XXXTENTACION
Sade In The 90s, Qveen Herby
Safe, Daya
Safe and Sound, Creep Show
Safe In The Car, Jeff Ament
Sail On Through, Spiritualized
Samaritans, Idles
Same Bitches, Post Malone
Sanctify, Years & Years
Sandra's Rose, Drake
Sangria Wine, Camila Cabello
Santeria, Pusha T
Saturday Nights, Khalid
Saturdays, Twin Shadow
Savior, Iggy Azalea
Savior Of Nothing, Disturbed
Say Amen (Saturday Night), Panic! At The Disco
Say My Name, David Guetta
Say Something, Justin Timberlake
Scars, tobyMac
Science Fiction, Arctic Monkeys
Screwed, Janelle Monáe
Sea of Red, Judas Priest
Seasons, Chris August
Seasons Change, Scotty McCreery
Second Line, Billy Gibbons
See You Try, Craig Campbell
Self Care, Mac Miller
Selfish, Jordan Davis
Send to Robin Immediately, Robyn
Sense Of Discovery, Simple Minds
Senseless, Stefflon Don
Sepia, Plan B
Seven Falls, Laura Veirs
Shadow, Alexandra Burke
Shadow Of The Pines, The Innocence Mission
Shadow Of Your Love, Guns N' Roses
Shadowboxer, Good Charlotte
Shake The Walls, Colin Macleod
Shallow, Lady Gaga
Sham Pain, Five Finger Death Punch
Shame, Elle King
Shame, Maxwell
She Bad, Cardi B
She Could Be The One, Eric Hutchinson
She Looks Like Fun, Arctic Monkeys
She Loves Control, Camila Cabello
She Remembers Everything, Rosanne Cash
She Works Out Too Much, MGMT
Shoe Boot, Nathaniel Rateliff & the Night Sweats
Shoot Me Straight, Brothers Osborne
Short Skirt Weather, Kane Brown
Shot Clock, Ella Mai
Shotgun, George Ezra
Sick Of Sittin', Christina Aguilera
Side Effects, The Chainsmokers
Sideways, Marian Hill
Simple, Florida Georgia Line
Simple Things, Kandace Springs
Simplify, Young the Giant
Sin Pijama, Becky G
Sincerity Is Scary, The 1975
Sink With You, Underoath
Sir Nicholas Winton, Vincent Poag
Sister Cities, The Wonder Years
Skulls, Halestorm
Sky Beaming, White Denim
Sky Full of Song, Florence + the Machine
Sleepwalkers, Brian Fallon
Slide, James Bay
Slip Away, Mumford & Sons
Slow Burn, Kacey Musgraves
Slow Dance In A Parking Lot, Jordan Davis
Slow Dancing In The Dark, Joji
Smile (Living My Best Life), Lil Duval
Sniper, Saxon
So Far Under, Alice in Chains
"So Long, And Thanks For All The Fish", A Perfect Circle
Sober, Demi Lovato
Solid, Eric Church
Solo, Clean Bandit
Some Girls, Jameson Rodgers
Some Of It, Eric Church
Somebody Ain't You, Mitchell Tenpenny
Somebody Like Me, Craig David
Somebody New, The Struts
Somebody Special, Nina Nesbitt
Somebody's Daughter, Tenille Townes
Someone, LEEDS
Someone I Used to Know, Zac Brown Band
Someone You Loved, Lewis Capaldi
Something Human, Muse
Something to Ride To, Jake Owen
Something You Get Through, Willie Nelson
Something's Gotta Give, Camila Cabello
Son Of An Only Child, Tom Odell
Song About You, Mike Posner
Songs for the Saints, Kenny Chesney
Soon, Snow Patrol
Soul Survivor, Rita Ora
Soulmate, Justin Timberlake
South London Forever, Florence + the Machine
Southbound, Carrie Underwood
Southern State Of Mind, Sugarcane Jane
Space Cowboy, Kacey Musgraves
Special, Shinedown
Speechless, Dan + Shay
Spinning Bottles, Carrie Underwood
Spiral Cities, Johnny Marr
Spirit Rider, Jamey Johnson
Splashin, Rich The Kid
Spoil My Night, Post Malone
Spotlight, Lil Peep
Star, Jain
Star Treatment, Arctic Monkeys
Starcrossed Losers, The Fratellis
"Starlighter (Echo, Utah)", Hawthorne Heights
Starts With Me, tobyMac
Stay, Post Malone
Stay Down, Dawes
Stay the Night, The Shires
Stepping Stone, Eminem
Stevie's Dream, Janelle Monáe
Stoopid, 6ix9ine
Stop Killing the Mandem, Novelist
"Stop, Drop and Roll One", Pistol Annies
Storm, SuRie
Strawberry & Cigarettes, Troye Sivan
Street Fighter Mas, Kamasi Washington
Street Livin', The Black Eyed Peas
Strip, Little Mix
Stronger Than Me, Garth Brooks
Stuck With Me, Tinashe
Suddenly, Raul Midon
Suffocation, Marmozets
Sugar Daddy, Pistol Annies
Sugarcoat, George Ezra
Sugartooth, Brandi Carlile
Summer, Simple Minds
Summer, The Carters
Summer Fever, Little Big Town
Summer Games, Drake
Summer Water, Michael Ray
Summer's End, John Prine
Summertime Magic, Childish Gambino
Sun In Our Eyes, Mø
Sun on the Square, The Innocence Mission
Suncity, Khalid
Sunday Roast, Courtney Barnett
Sundress, A$AP Rocky
Sunflower, Post Malone
Sunshine (I Can Fly), Raul Midon
Sunshine Riptide, Fall Out Boy
Supastars, Migos
Supplies, Justin Timberlake
Surface To Air, Django Django
Surprised By The Joy, Richard Ashcroft
Survival, Drake
Survivors, Passenger
Sway, Tove Styrke
Sweet But Psycho, Ava Max
Sweet Scorched Earth, Eels
Sweetener, Ariana Grande
Swervin, A Boogie Wit Da Hoodie
Swimming Pool, Anna Calvi
Tailgate, RaeLynn
Take Back Home Girl, Chris Lane
Take It From Me, Jordan Davis
Take It To The Cross, Stryper
Take My Time, Hawk
Taki Taki, DJ Snake
Talk of This Town, Catherine McGrath
Talk To Me, Tory Lanez
"Talk to Me, Pt. II", Craig David
Talk Up, Drake
Talk You Out of It, Florida Georgia Line
Taste, Tyga
Tearing at the Seams, Nathaniel Rateliff & the Night Sweats
Tell Me It's Over, Avril Lavigne
Tempest, John Grant
Tennessee Boy, Kip Moore
Tequila, Dan + Shay
Tesco Disco, The Kooks
Tester, Hinds
Testify, Robin Thicke
"Thank U, Next", Ariana Grande
That Sound, Sam Fender
That's How You Feel, Drake
That's It (I'm Crazy), Sofi Tukker
That's What She Said, Billy Gibbons
The Age, Bury Tomorrow
The Big Guy, Ray Davies
The Big Unknown, Sade
The Boy From Rye, Gretchen Peters
The Breakup Song, Francesca Battistelli
The Bullet, Carrie Underwood
The Call Of The Wild, Slash
The Champion, Carrie Underwood
The City Looks Pretty, Courtney Barnett
The Club, Hinds
The Cure, Little Mix
The Cut Off, J. Cole
The Deconstruction, Eels
The Ending, Papa Roach
The Games We Play, Pusha T
The Good Side, Troye Sivan
The Greatest Show, Hugh Jackman
The Gun, David Nail
The Gypsy Faerie Queen, Marianne Faithfull
The Human Radio, Shinedown
The Hype, Twenty One Pilots
The Invisibles, Suede
The Light Is Coming, Ariana Grande
The Lonesome Friends of Science, John Prine
The Man, Goat Girl
The Mariana, Everything Everything
The Middle, Zedd
The Mountain, Three Days Grace
The Mountain, Dierks Bentley
The Old Me, Memphis May Fire
The One You Know, Alice in Chains
The One You Loved Is Gone, Slash
The Ones That Didn't Make It Back Home , Justin Moore
The Ones Who Got Me Here, Cole Swindell
The Other, Tonight Alive
The President Sang Amazing Grace, Joan Baez
The Ringer, Eminem
The River (of Happiness) (live from Gaither Studios), Josh Turner
The Rover, Interpol
The Signal And The Noise, Simple Minds
The Silence, Halestorm
The Snake, Eric Church
The Tracers, Johnny Marr
The Ultracheese, Arctic Monkeys
The Unanswerable, Eels
The Undiscovered Country, Rosanne Cash
The Void, Parkway Drive
The Walking Wounded, Rosanne Cash
The War After the War, Mary Gauthier
The Way I Am, Charlie Puth
The Wild, Mumford & Sons
The World's Best Kisser, Darwin Deez
The World's First Ever Monster Truck Front Flip, Arctic Monkeys
There Was This Girl, Riley Green
There's A Reason Why (I Never Returned Your Calls), Blossoms
There's No Way, Lauv
These Days, Rudimental
They Come at Night, Marianne Faithfull
They Played Rock And Roll, Saxon
Things That We Drink To, Morgan Evans
Think About Us, Little Mix
This Body, Baum
This Christmas Day, Jessie J
This City, Sam Fischer
This Dance, Drenge
This Feeling, The Chainsmokers
This Girl, Hunter Hayes
This Is America, Childish Gambino
This Is It, Scotty McCreery
This Too Shall Last, Anderson East
This Wild Darkness, Moby
Thotiana, Blueface
Thought About You, Tim McGraw
Thought Contagion, Muse
Thought I Knew You, Nicki Minaj
Thru These Tears, LANY
Thru Your Phone, Cardi B
Thunderbolt, Saxon
Thunderclouds, LSD
Thursday, Jess Glynne
Time in a Tree, Raleigh Ritchie
Time in Common, Rolling Blackouts Coastal Fever
Time Song, The Kinks
To Be Free, Passenger
To Drink From The Night Itself, At The Gates
Today Is The Day, Eels
Told You So, Little Mix
Tomorrow's No Concern, Dee Snider
Tongue, MNEK
TOOTIMETOOTIMETOOTIME, The 1975
Top Off, DJ Khaled
Torn In Two, Breaking Benjamin
Total Football, Parquet Courts
Touch And Go, John Grant
Touch of Heaven, Hillsong Worship
Tough Guys, Caroline Jones
Toy, Netta Barzilai
Train Food, XXXTENTACION
Trampoline, Shaed
Tranquility Base Hotel & Casino, Arctic Monkeys
Trapper Man, Mark Knopfler
Trauma, Meek Mill
Travelin' Light, Dierks Bentley
Treat Myself, Meghan Trainor
Trip, Ella Mai
Trust My Lonely, Alessia Cara
Trustless, Tara Lynch
Try Me, The Weeknd
TSLAMP, MGMT
Tuesday's Broken, Sugarland
Twerk, City Girls
Tyrant, Kali Uchis
Ultimatum, Disclosure
Unbreakable, Tara Lynch
Uncomfortable, Halestorm
Under Again, Bullet For My Valentine
Under Lime, Elvis Costello
Under Your Scars, Godsmack
Underneath the Moon, Julia Holter
Unfaithful, Blossoms
Unless It's With You, Christina Aguilera
Untethered Angel, Dream Theater
Untitled God Song, Haley Heynderickx
Uproar, Lil Wayne
Uptown Vibes, Meek Mill
Us, James Bay
Used Future, The Sword
Vale (This Is Where It Ends), Black Veil Brides
Valentine, 5 Seconds of Summer
Venice Bitch, Lana Del Rey
Venom (Music From The Motion Picture), Eminem
Vicious, Halestorm
Violent Crimes, Kanye West
Volatile, Machine Head
Vroom, Yxng Bane
Wake Up, Black Veil Brides
Wake Up, Travis Scott
Wake Up In The Sky, Gucci Mane
Wala Cam, Chance the Rapper
Walk into the Sea, Johnny Marr
Walk It Talk It, Migos
Walk Like Him, Mitchell Tenpenny
Walk The Walk, Gaz Coombes
Wanderer, Cat Power
Want You Back, 5 Seconds of Summer
War You Started, Madame Mayhem
Warm (When the Sun Has Died), Jeff Tweedy
Warzone, Of Mice & Men
Waste It On Me, Steve Aoki
Wasted, Juice WRLD
Wasted Times, The Weeknd
Watch , Travis Scott
Way Down, Mø
We All Die Young, The Decemberists
We Appreciate Power, Grimes
We Are Gonna Live, The Xcerts
We Built This City… On Sausage Rolls, LadBaby
We're Still Here, Steve Perry
Wedding Day, Tom Odell
"Weed, Whiskey and Willie", Brothers Osborne
Weird Dreams, Gaz Coombes
Welcome to the Party, Diplo
Well Done, The Afters
What A Heavenly Way To Die, Troye Sivan
What About Me, Lil Wayne
What Happens in a Small Town, Brantley Gilbert
What Was It Like, Joan as Police Woman
What We Had, Rebecca Angel
What Whiskey Does, Randy Houser
What You Believe, Jonathan Davis
What You Waiting For?, Sigala
What's Done Is Done, Jack White
What's Free, Meek Mill
Whatchamacallit, Ella Mai
When a Cowboy Trades His Spurs for Wings, Willie Watson and Tim Blake Nelson
When Bad Does Good, Chris Cornell
When I Get to Heaven, John Prine
When I Was His Wife, Pistol Annies
When Legends Rise, Godsmack
When The Party's Over, Billie Eilish
When The Seasons Change, Five Finger Death Punch
When You Die, MGMT
Where Were You In The Morning?, Shawn Mendes
Wherever I Live, Alessia Cara
Wherever You Are, Scotty McCreery
While You Still Can, Brothers Osborne
Whiskey Glasses, Morgan Wallen
White Flag, Bishop Briggs
White Horses, Paul Weller
Who Cares, Paul McCartney
Who Do You Trust?, Papa Roach
Who You Say I Am, Hillsong Worship
Whole Heart, Passion
Why Are We So Broken, Steve Aoki
Why Did You Do That?, Lady Gaga
Why Walk a Dog?, Jack White
Wild Love, James Bay
Wild Love, Ashley Monroe
Wildflowers, Elle Fanning
Wilson (Expensive Mistakes), Fall Out Boy
WIN, Jay Rock
Wish Me Well, Mist
Wish You Would, Marian Hill
Wishing Wells, Parkway Drive
Without Me, Halsey
Wizard of Oz, Logic
Woman, Cat Power
Woman, Mumford & Sons
Woman Like Me, Little Mix
Woman of the World, Amy MacDonald
Woman's World, Little Mix
"Woman, Amen", Dierks Bentley
Wonderful Life, Bring Me The Horizon
Work Out, Chance the Rapper
World's Strongest Man, Gaz Coombes
Wouldn't Leave, Kanye West
Wounded Egos, Gaz Coombes
Wow, Post Malone
X, ScHoolboy Q
X (EQUIS), Nicky Jam
Yada Yada Yada, Brandon Lay
Ye vs. the People, Kanye West
Yeah Right, Joji
Year of the Tiger, Myles Kennedy
Yes Indeed, Lil Baby
Yikes, Kanye West
Yosemite, Travis Scott
You, Snoop Dogg
You, Jacquees
You Belong, Rachel Platten
You Can't Bring Me Down, Dierks Bentley
You Don't Walk Away From Love, Peace
You Found Me, Switchfoot
You Got 'Em All, Trent Harmon
You Love Me, Vincent Poag
You Make It Easy, Jason Aldean
You Moved Away, Death Cab for Cutie
You Never Knew My Mind, Chris Cornell
You Never Know, Beartooth
You Say, Lauren Daigle
You Should See Me in a Crown, Billie Eilish
You're Going To Break My Heart Tonight , Tom Odell
You're the One, Greta Van Fleet
Young Forever, Eric Paslay
Young Man, Justin Timberlake
Youngblood, 5 Seconds of Summer
Younger , A Great Big World
Your Teeth in My Neck, Kali Uchis
Youth, Shawn Mendes
Yuck, Logic
Zack and Codeine, Post Malone
Zendaya, Cozz
Zero, Imagine Dragons
Zeze, Kodak Black
