$ave Dat Money, Lil Dicky
Hey Ashley, DEC3
Hey Darling, Sleater-Kinney
Hey Everybody!, 5 Seconds of Summer
Hey Now, Matt & Kim
Hide Away, Daya
High By The Beach, Lana Del Rey
High Class, Eric Paslay
High Enough To Carry You Over, Chvrches
High Line, The Bone Chimes
Higher, Sigma
Higher Than Here, James Morrison
Higher Truth, Chris Cornell
History, One Direction
History of Touches, Björk
Hit The Ground, Justin Bieber
Hit the Quan, iLoveMemphis
Hold Each Other, A Great Big World
Hold My Hand, Jess Glynne
Hold No Guns, Death Cab for Cutie
Hold On, Starsailor
Hold On," Gary Clark, Jr."
Holdin' Her, Chris Janson
Holding On, Disclosure
Holding On to Hell, Gin Wigmore
Hole in a Bottle, Canaan Smith
Hole in My Soul, Apocalyptica
Holes In The Sky, M83
Hollow, Tori Kelly
Hollywood, Tobias Jesso Jr.
Hollywood (I Got It), Palma Violets
Holy Ghost, A$AP Rocky
Holy Moly, Matthew E. White
Holy Smoke, Tom Robinson
Holy Water, Madonna
Holyland, Todd Rundgren
Home, Madeon
Home, Angels & Airwaves
Home, One Direction
Home Alone Tonight, Luke Bryan
Home Movies (Over Your Shoulder), David Cook
Home Nights, Sugarcane Jane
Homegrown, Zac Brown Band
Honest, Kodaline
Honeymoon, Lana Del Rey
Hood Politics, Kendrick Lamar
Hoodie On, Matt & Kim
Hope, Natasha Bedingfield
Hopelessly Coping, Wilkinson
Hot Gates, Mumford & Sons
Hot Scary Summer, Villagers
Hot Streak, The Winery Dogs
Hotel, Kid Ink
Hotline Bling, Drake
Hourglass, Lifehouse
Hourglass, Disclosure
Hourglass, Empire Cast
House Every Weekend, David Zowie
House On Fire, Ryan Cabrera
How Are You True, Cage the Elephant
"How Big, How Blue, How Beautiful", Florence + the Machine
How Could You Babe, Tobias Jesso Jr.
How Deep Is Your Love, Calvin Harris
How Did You Love?, Shinedown
How I'll Always Be, Tim McGraw
How It Is, Tiara Thomas
How Long, Julia Holter
How Many Times, DJ Khaled
How Much A Dollar Cost, Kendrick Lamar
How The Years Condemn, Napalm Death
Huarache Lights, Hot Chip
Hudson Commodore, Jason Isbell
Human, Of Monsters and Men
Human Interaction, Tonight Alive
Human Race, Three Days Grace
Humble And Kind, Tim McGraw
Hunter, Du Blonde
"Huntin,' Fishin' and Lovin' Every Day", Luke Bryan
Hurricane, Lifehouse
Hurricane, MisterWives
Hurts, Mika
Hymn For The Weekend, Coldplay
Hype, Calvin Harris
I Am, Awolnation
I Am Invincible, Cassadee Pope
I Am Machine, Three Days Grace
I Am The Fire, Halestorm
I Am What I Am, Laura Bell Bundy
I Apologize, Five Finger Death Punch
I Bet, Ciara
I Broadcast, Blur
I Can Change, Brandon Flowers
I Can't Breathe, Pussy Riot
I Can't Lose, Mark Ronson
"I Don't Like, I Love It", Flo Rida
I Don't Need a Lover, Will Young
I Feel Good, Thomas Rhett
I Feel Love (Every Million Miles) , The Dead Weather
I Feel Pretty, Steph Copeland
I Fell Like a F--king Flower, Kinski
I Found a Girl, The Vamps
I Found Love, Owl City
I Got the Boy, Jana Kramer
I Got You, Ciara
I Had a Dream, Kelly Clarkson
I Had A Dream, Aurora
I Know A Guy, Chris Young
I Know Somebody, LoCash
I Know There's Gonna Be (Good Times), Jamie xx
I Know What You Did Last Summer, Shawn Mendes
I Know You, Skylar Grey
I Like It Heavy, Halestorm
I Love This Life, LoCash
I Love You All The Time, Eagles of Death Metal
"I Love You, Honeybear", Father John Misty
I Luh God, Erica Campbell
I Miss Music, Monica
I Miss You, Adele
I Really Like You, Carly Rae Jepsen
I Serve the Base, Future
I Shall Rise, Karen O
I Still Want You, Richard Hawley
I Thought The Future Would Be Cooler, YACHT
I Took a Pill in Ibiza, Mike Posner
I Wanna Be There, Alabama
I Wanna Get Lost With You, Stereophonics
I Want To Write You A Song, One Direction
I Want You To Know, Zedd
I Was Made for Loving You, Tori Kelly
I Will Love You, Gin Wigmore
I Wish I Was, Maren Morris
I Won't Give In, Asking Alexandria
I Worship Chaos, Children of Bodom
I'd Much Rather Be With the Girls, The Ronettes
I'll Be There, Chic
I'll Be Your Man (Song for a Daughter), Zac Brown Band
I'll Show You, Justin Bieber
I'm A Girl, Peace
I'm a Ruin, Marina
I'm Comin' Over, Chris Young
I'm Gonna Show You Crazy, Bebe Rexha
I'm In Love And It's Burning In My Soul, The Subways
I'm in Love With a Monster, Fifth Harmony
I'm Leaving You , Electric Light Orchestra
I'm Not Satisfied, Public Image Ltd.
I'm Not The Man, Ben Folds
I'm So Sorry, Imagine Dragons
I'm to Blame, Kip Moore
I'm Where I Should Be, Paul Weller
I'm Your Doll, FKA Twigs
I'm Yours, Alessia Cara
I've Been Here Before , Sara Groves
I've Been Waiting For Her, Mac DeMarco
I've Got 2 Wings, Elton John
I.O.U. Nothing, Coal Chamber
Ibiza, The Prodigy
Ice Cream Man, Blur
Iceman, The Libertines
Iconic, Madonna
If Eternity Should Fail, Iron Maiden
If I Could Fly, One Direction
If I Don't Have You, Tamar Braxton
If I Don't Know, Neil Young
If I Have to Wake Up (Would You Stop the Rain?), Baroness
If I Never Got To Tell You, Gloria Estefan
If I Should Go Before You, City and Colour
If I Take You Home Tonight, Diana Krall
If It Wasn't For You, Alesso
If Love Was Fair, Ashley Monroe
Illinois, Brett Eldredge
Immortal, Marina
Immortale, Alesso
Impossible, Angel Haze
Impossible, Building 429
Impossible, Lacey Sturm
Impossible Winner, The Dead Weather
In Any Tongue, David Gilmour
In Case of Fire, Mark Ronson
In Disarray, Pop Evil
In For The Kill, Shamir
In Its Infancy (The Waterfall), My Morning Jacket
In Love With A Boy , Kaya Stewart
In My Blood, Alesso
In Our Own Worlds, Jamie Lawson
In The Car..., Paul Weller
In The Dark, Raphaella
In the Night, The Weeknd
In2, WSTRN
Incomplete, James Bay
Infinity, Mariah Carey
Infinity, Rickie Lee Jones
Infinity, One Direction
Institutionalized, Kendrick Lamar
Insult and an Elbow, Yonder Mountain String Band
Into the Wild, Connell Cruise
Intoxicated, Martin Solveig
Intro, Dr. Dre
Intro (Delirium), Ellie Goulding
Invincible, Kelly Clarkson
iPod on Shuffle, Eric Bellinger
Irresistible, Fall Out Boy
Isabel, The Wombats
Island, Coheed and Cambria
Island In The Sun, Ringo Starr
Isn't Life Great?, Allen Toussaint
It All Adds Up To Us, Trace Adkins
It All Started With a Beer, Frankie Ballard
It Comes Back to You, Imagine Dragons
It Doesn't Hurt Right Now, Jewel
It Don't Hurt Like It Used To, Billy Currington
It Feels Good, Drake White
It Is You, Natalie Prass
It Only Gets Much Worse , Nate Ruess
It Won't Let Go, Gloriana
It's All Gone To Pot, Willie Nelson and Merle Haggard
It's in My Head, Ryan Adams
It's What Happens Next That Matters Most, Life in Film
It's Yo S--t, Chris Brown & Tyga
Itch, Nothing But Thieves
Jackie (B.M.F.), Ciara
Jackrabbit, San Fermin
Jade Helm, Avenged Sevenfold
James Joint, Rihanna
Jealous Love, Noah Gundersen
Jealousy, Best Coast
Jekyll And Hyde, Five Finger Death Punch
Jersey, Drake and Future
Jesus and Bocephus, Kid Rock
Jet Black Heart , 5 Seconds of Summer
Jet Pack Blues, Fall Out Boy
Jim and Jack and Hank, Alan Jackson
Jimmy Choo, Fetty Wap
Jimmy Choos, Rickie Lee Jones
Jitter, Grace Mitchell
Joan Of Arc, Madonna
"John Cougar, John Deere, John 3:16", Keith Urban
Johnny Cash, Kid Rock
Josephine, Frank Turner
Jugg, Fetty Wap
Julian, Say Lou Lou
Jump off the Roof, Vince Staples
Jumpman, Drake and Future
Just a Little, Gladys Knight
Just a Taste, Brett Eldredge
Just Another Dude, Kat Dahlia
Just As I Am, Brantley Gilbert
Just Kids, Mat Kearney
Just Like Them Horses, Reba McEntire
Just Right for Me, Monica
Just Smoke, Mumford & Sons
Just to Get Away, Vinyette
Kaleidoscope, Coldplay
Kali Ma, Neck Deep
Kamakura, The Maccabees
Kamikaze, Mø
Kauga (Lost Time) , Pierce Fulton
Keep Dealing, Pusha T
Keep On Dancin', Ellie Goulding
Keep Your Money, Empire Cast
Kevin, Macklemore & Ryan Lewis
Kick Me, Sleeping with Sirens
Kick The Dust Up, Luke Bryan
Kicking & Screaming, All Time Low
Kids in the Dark, All Time Low
Kill 'Em with Kindness, Selena Gomez
Kill a Word, Eric Church
Kill the Lights, Luke Bryan
Kill V. Maim, Grimes
Killing Time, City and Colour
Kim's Caravan, Courtney Barnett
King, Years & Years
King Kunta, Kendrick Lamar
King of Everything, Wiz Khalifa
King Of The Blues, Steve Earle
Kingdom Come, Demi Lovato
Kingdom of the Cross, Saxon
Kings Never Die, Eminem
Kiss and Tell, Ciara
Kiss Me, Olly Murs
Kiss Me Quick, Nathan Sykes
Kiss You in the Morning, Michael Ray
Kissin' Frogs, RaeLynn
Kitsch, Dan Mangan
Knock Knock Knock, Rat Boy
Knocking On Your Heart, Maggie Lindemann
Know Now, Public Image Ltd.
Know Yourself, Drake
LA, Ty Dolla $ign
Lady Grey, Katzenjammer
Lady Luck, Moonshine Bandits
Ladyboy, Lindemann
Lampshade On, The Dustbowl Revival
Lampshades on Fire, Modest Mouse
Landfall, Yonder Mountain String Band
Landmine, Three Days Grace
Landslide, A Thousand Horses
Landslide, Oh Wonder
Lane Boy, Twenty One Pilots
Last Breath, Future
Last Cigarette , Darwin Deez
Last Criminal, Shayna Leigh
Last Lullaby, The Unthanks
Last Night in the City, Duran Duran
Last Night the Devil Learned My Name, Moondog Matinee
Last of Our Kind , The Darkness
Last Party, Mika
Last Rites at the Jane Hotel, Of Montreal
Last Runaway, W.A.S.P.
Last Song, Jana Kramer
Lately It's You, Spector
Laughs and Jokes and Drinks and Smokes, Mark Knopfler
Lay It All On Me, Rudimental
Lay Me Down, Adele
Lazarus, David Bowie
Lean On, Major Lazer
Learned It From the Radio , Thomas Rhett
Leather and Wood , Deerhunter
Leave A Trace, Chvrches
Leaves, Miguel
Leaving Los Feliz, Mark Ronson
Legion of Lies, Act of Defiance
Legion of Monsters, Disturbed
Let It All Go, Rhodes
Let It Go, James Bay
Let It Go, George Strait
Let It Happen, Tame Impala
Let Love Hold You Now, Jamie Lawson
Let Me Through, The Dead Weather
Let the Road, Rixton
Let You What… (Interlude), Ne-Yo
Let Your Tears Fall, Kelly Clarkson
Let's Go, Def Leppard
Let's Not Be Alone Tonight, R5
Letting Go, Mayday Parade
Levels, Nick Jonas
Life in the Vivid Dream, Grimes
Life is Beautiful, Lana Del Rey
Life Is Worth Living, Justin Bieber
Life On The Dancefloor, Seal
Lifted Up (1985), Passion Pit
Light In The Hallway, Pentatonix
Light It Up, Major Lazer
Light Me Up, Kristian Bush
Light Up the Dark, Gabrielle Aplin
Lighters, Gloriana
Lighthouse, G.R.L.
Lightning, Little Mix
Lights, Hurts
Lights of Taormina, Mark Knopfler
Like an Arrow, Lucy Rose
Like I'll Never Love You Again, Carrie Underwood
Like I'm Gonna Lose You, Meghan Trainor
Like It's the Last Time, Thomas Rhett
Like Mariah, Fifth Harmony
Like Me, Joey Bada$$
Lionsong, Björk
Liquor, Chris Brown
Lisa Sawyer, Leon Bridges
Lisbon, Wolf Alice
Lit Like Bic, Rae Sremmurd
Little Girl Don't Grow Up Too Fast, Carrie Underwood
Little More (Royalty) , Chris Brown
Little Wanderer, Death Cab for Cutie
Live Forever, The Band Perry
Live From The Gutter, Drake and Future
Live Like An Animal, Slaves
Live On Forever, The Afters
Livin' the Dream, Drake White
Living Zoo, Built to Spill
Lock All The Doors, Noel Gallagher's High Flying Birds
Locked Away, R. City
London Roads, Lil Wayne
London Thunder, Foals
Lonely Hunter, Foals
Lonely One, The Mohrs
Lonely Town, Brandon Flowers
Lonesome Street, Blur
Long & Lost, Florence + the Machine
Long Time, Paul Weller
Long Way Down , One Direction
Longer than a Lifetime, Sanctus Real
Looking Up, Elton John
Los Angeles, Mat Kearney
Los Angeles, The Bird and the Bee
Lose It, French Montana
Lose It All , Brett Eldredge
Lose My Mind, Brett Eldredge
Losers, The Weeknd
Lost And Found, Ellie Goulding
Lost Boy, Ruth B
Lost On Me, Peace
Lost on You, LP
Lost Souls, Jeezy
Lost Worker Bee, Elbow
Loud Places, Jamie xx
Louisiana, Sugarcane Jane
Love, Kid Cudi
Love, Seal
Love + War, Kwabs
Love Affair, Herb Alpert
Love Again, Rae Morris
Love Ain't Just A Word, Rudimental
Love and Be Loved , Rod Stewart
Love Brought Weight, Old Sea Brigade
Love Crime, Siouxsie Sioux & Brian Reitzell
Love Feels Like, tobyMac
Love In the 90z , Mack Wilds
Love in The Dark, Adele
Love Is, Rod Stewart
Love Is Free, Robyn & La Bagatelle Magique
Love Is Your Name, Steven Tyler
Love it Gone, Luke Bryan
Love Land, Reba McEntire
Love Me, The 1975
Love Me Like You , Little Mix
Love Me Like You Do, Ellie Goulding
Love Me Til It Hurts, Papa Roach
Love Myself, Hailee Steinfeld
Love On You, Rissi Palmer
Love Revolution, Will Young
Love Songs for Robots, Patrick Watson
Love Used To Be, Jewel
Love Will Set You Free, Kodaline
Love You Crazy, Mikky Ekko
"Love You, Goodbye", One Direction
Love Yourself, Justin Bieber
Loveless, X Ambassadors
Loving You Easy, Zac Brown Band
Low Life, X Ambassadors
Loyalty, Killswitch Engage
LSD, A$AP Rocky
Lucette Stranded On The Island, Julia Holter
Ludaversal (Intro), Ludacris
Lullaby In The Night, Candice Night
Lush Life, Zara Larsson
Lyme Life, Jesse Colin Young
M.F.T.R. , Pusha T
M.P.A., Pusha T
Mad Love, Canaan Smith
Mad River, Dar Williams
Mad Truth, The Pop Group
Made to Break Your Heart, Los Lobos
Madness, Sleeping with Sirens
Madonna, Drake
Madonna Can't Save Me Now, Will Butler
"Maggie, I've Been Searching For Our Son", Craig Finn
Magic, Kip Moore
Magnetized, Wilco
Magnets, Disclosure
Maintenance Man, Trace Adkins
Majoring In The Minors, August Burns Red
Make a Scene, Shamir
Make It Back to Me, Ben Haenow
Make Me Feel Better, Alex Adair
Make Them Gold, Chvrches
Make Up, R. City
Mama Let the Wolf In, Allison Moorer
Mama Was a Liar, Danielle Bradbery
Man Enough, Def Leppard
Mango Tree, Zac Brown Band
Manta Ray, J. Ralph and Antony
Marching Band, R. Kelly
Maria I'm Drunk, Travis Scott
Mark My Words, Justin Bieber
Marks To Prove It, The Maccabees
Marvin Gaye, Charlie Puth
Masterpiece, Disclosure
Matter of Time , Vanessa Carlton
Max B, A$AP Rocky
Mayday, Cam
Mayhem, Halestorm
Me & the Rhythm, Selena Gomez
Me and the Devil, The Fratellis
"Me, Myself & I", G-Eazy
Medicine Man, Dr. Dre
Medusa In Chains, The Fratellis
Meet Me In the Middle, Jessie Ware
Mellow Out, Nathaniel Rateliff & the Night Sweats
Mercy, Muse
Merry Christmas Mr. Brown, Aloe Blacc
Mess Around, Cage the Elephant
Messenger, Tesseract
Meth Labs & Moonshine, Mini Thin
Middle, DJ Snake
Midnight, Lianne La Havas
Might As Well Get Stoned, Chris Stapleton
Million Years Ago, Adele
Minimal Affection, The Vaccines
Miracle, Donnie Trumpet & The Social Experiment
Miracle, ZZ Ward
Miracle/Wherever, Ty Dolla $ign
Mirror Ball, Blur
Misbehavin', Pentatonix
Miss You, Alabama Shakes
"Miss You ""C""", Nils Lofgren
Missing Ol' Johnny Cash, Willie Nelson and Merle Haggard
Missing You, All Time Low
Mittens, Frank Turner
Modzilla, Scott Weiland and the Wildabouts
Molly Town, Joss Stone
Moment, Nate Ruess
Money, 5 Seconds of Summer
Money Can't Buy No Love, Krishane
Money On Me, Snakehips
Monsanto Years , Neil Young
Monster, Madame Mayhem
Monsters Ball, Butcher Babies
Moongod, The Devil Wears Prada
Moonsong, The Black Atlas
More Of You, Chris Stapleton
More than Anything, Natalie Grant
Morning Side, Four Tet
Morrigan, Children of Bodom
Mortal Man, Kendrick Lamar
Mother May I, Cee Lo Green
Mothercreep, FKA Twigs
Mountain At My Gates, Foals
Mountain Lion, Future User
Mouth Mantra, Björk
Move, Luke Bryan
Move On, Clare Dunn
Move Together, James Bay
Moving Mountains, Disclosure
Moving On, The Zombies
Mr. Misunderstood, Eric Church
Muddy Waters, Chris August
Mudslide, The Darkness
Mula, Game
Mural, Lupe Fiasco
"Murder Song (5, 4, 3, 2, 1) ", Aurora
Murderer Of Blue Skies, Chris Cornell
Music to Watch Boys To , Lana Del Rey
My Christmas Caroline, Kellie Pickler
My Church, Maren Morris
My Dead Drunk Friends, The Hollywood Vampires
My Father's Daughter, Jewel
My House, Flo Rida
My House by the Water, Mac DeMarco
My Jam, Bobby Brackins
My Love, Circa Waves
My Mistake, Cam
My Nemesis, Five Finger Death Punch
My Ol' Bronco, Luke Bryan
My Story, Big Daddy Weave
My Stupid Heart, Shawn Mullins
My Suicide Note, Stacy Barthe
My Terracotta Heart, Blur
My Way, Fetty Wap
My X, Rae Sremmurd
Na Na Na, Pentatonix
Naked, X Ambassadors
Name & Number, Shift K3Y
Napal Baji, Psy
Nasty, The Prodigy
Nasty Freestyle, T-Wayne
Nearly Forgot My Broken Heart, Chris Cornell
Nebraska, Lucy Rose
Need You More, Darius Rucker
Need You Now, Hot Chip
Needn't Speak , Rudimental
Nervous, X Ambassadors
Nest, Young Fathers
Never Be the Same, Built to Spill
Never Ending Circles, Chvrches
Never Enough, One Direction
Never Forget You, Zara Larsson
Never Had To Go, The Dustbowl Revival
Never Have To Say Goodbye, Papa Roach
Never Let You Down, Woodkid
Never Let You Go, Rudimental
Never Turn Back, We Are Harlot
New Americana, Halsey
New Day, Rudimental
New Modern Love, Halestorm
"New Person, Same Old Mistakes", Tame Impala
New Problems, Cody Simpson
New Rush, Gin Wigmore
New World Towers, Blur
New Year's Day, Pentatonix
New York, The Zombies
New York Raining, Charles Hamilton
Newmyer's Roof, Craig Finn
Night Like This, Hilary Duff
Night Song, Julia Holter
Night Swimmers, Foals
Night's On Fire, David Nail
Nightlight, Silversun Pickups
Ninety Nine, Slaves
No Apologies, Empire Cast
No Cities to Love, Sleater-Kinney
No No No, Beirut
No One's Bothered, Sleaford Mods
No Place Like You, Maddie & Tae
No Pressure, Justin Bieber
No Reptiles, Everything Everything
No Romeo, Indiana
No Sense, Justin Bieber
No Shadow, Ryan Adams
No Sleeep, Janet Jackson
No Turning Back, Brandon Heath
No Way Out, Bullet For My Valentine
No Words, Erik Hassle
"No, Thank You", Don Henley
Nobody, Selena Gomez
Nobody 'Cept You, Jack Savoretti
Nobody Knows My Trouble, Ryan Bingham
Nobody Love, Tori Kelly
Nobody Really Cares if You Don't Go to the Party, Courtney Barnett
Nobody To Blame, Chris Stapleton
Nobody's Empire, Belle & Sebastian
Nocturnal, Disclosure
Noel, Chris Tomlin
Not Another Truck Song, Sugarcane Jane
Not Far (a song for Mema) , Austin Mahone
Not Letting Go, Tinie Tempah
Not Long, Ludacris
Not Waiting On Sunday, Jim Sonefeld
Notget, Björk
Nothin' To Do Round Here, Ira Dean
Nothing Good Ever Happens at the Goddamn Thirsty Crow, Father John Misty
Nothing Like A Friend , Richard Hawley
Nothing On Me, Keith Richards
Nothing Without Love, Nate Ruess
Nothing's Fair In Love And War, Three Days Grace
Novocaine, Fall Out Boy
Now I Know I'll Never Get Over You, The Zombies
O You, Peace
Oasis, A Great Big World
Obama, Anohni
Oblivion, The Winery Dogs
Ocean Drive, Duke Dumont
Ocean Skies, Ludacris
Off The Leash, Baha Men
Off The Rip, French Montana
Oh Brother, SOAK
Oh Jah Jah, Eddie Murphy
Oh My Love, The Score
Oh No, Bring Me The Horizon
Okay to Smile, T-Pain
Old New York, Agnostic Front
Old Rock n Roll, Young Fathers
Old Scars / Future Hearts, All Time Low
Old Ways, Demi Lovato
Olivia, One Direction
Omen, Disclosure
On My Mind, Ellie Goulding
On My Way, Axwell and Ingrosso
On Peregrine Wings, Joe Satriani
On the Bible, Tech N9ne
On The Way, Built to Spill
On to Something Good, Ashley Monroe
Once in a Lifetime, Flo Rida
One Black Sheep, Mat Kearney
One Call Away, Charlie Puth
One Day I Will, Joy Williams
One in a Million, Hilary Duff
One Kind Of Love, Brian Wilson
One Man Can Change the World, Big Sean
One Million Bullets, Sia
One of Us, Rick Ross
One Of Us, Local H
One on One, Alabama
One Time, Migos
One Time, Marian Hill
One Too Many, Three Days Grace
One Way to Heaven, Brandon Heath
Ones and Zeros, Young Guns
Ong Ong, Blur
Onion Grin, Fable Cry
Only in Dreams, Duran Duran
Only Love, Mumford & Sons
Only These Words, Chris Cornell
Open Fire, The Darkness
Operator, Vanessa Carlton
Organs, Of Monsters and Men
Other End of the Phone, Melissa Manchester
Oui, Jeremih
Our Eyes, Lucy Rose
Our Own House, MisterWives
Our Special Love, Brian Wilson
Out Of The Woods , Ryan Adams
Out The Speakers, A-Trak + Milo & Otis
Outer Space, Yelawolf
Outer Space / Carry On , 5 Seconds of Summer
Outlaw State Of Mind, Chris Stapleton
Outlaws, Alessia Cara
Outlines, Mike Mago & Dragonette
Outro, Big Sean
Outsiders, Suede
Outskirts of Heaven, Craig Campbell
Over and Over Again, Nathan Sykes
Over My Head, Alabama Shakes
Overdose, Alessia Cara
Overlord, Lamb Of God
Pageant Material, Kacey Musgraves
Pages of Gold, Flo Morrissey
Painkiller, Jason Derulo
Painted, MS MR
Panda, Desiigner
Paper Gods, Duran Duran
Papercut, Zedd
Parachute, Chris Stapleton
Parade It, Radkey
Paradise, Jeremih
Paradise Lost, Shayna Leigh
Parasites, Sleeping with Sirens
Pardon Me, The Mavericks
Part That's Holding On, Red
Party Favors, Tinashe
Passenger, Trapt
Past Life, Tame Impala
Pause, Plain White T's
Pay My Debts, Sharon Van Etten
Pay No Mind, Madeon
Payday, Alesso
Peace of Mind, Liz Longley
Peace to the Mountain, Coheed and Cambria
Peaches N Cream, Snoop Dogg
Peanut Butter Jelly, Galantis
Pedestrian At Best, Courtney Barnett
Pencil Pusher, Funeral for a Friend
People On The High Line, New Order
Perfect, Darius Rucker
Perfect, One Direction
Perfect Couples, Belle & Sebastian
Perfect Lover, Chris Isaak
Perfect Ruin, Kwabs
Perfect Skin, Peace
Perfectly Sane, The Mohrs
Perfume, Rag'n'Bone Man
Permanent Vacation, 5 Seconds of Summer
Perth, Beirut
Peter and the Gun, Palma Violets
Peter Pan, Kelsea Ballerini
Petting The Carpet, Failure
Pharsyde, A$AP Rocky
Phenomenal, Eminem
Philomena, The Decemberists
Phoenix, Paul Weller
Phone Down, Erykah Badu
Phone in a Pool, Ben Folds
Physical, St. Lucia
Piano Wire, Slayer
Pick It Up, Paul Weller
Picture Me Rollin', Chris Brown
Piece by Piece, Kelly Clarkson
Pieces, Amanda Cook
Pierre, Ryn Weaver
Pink Lemonade, The Wombats
Pink Snow, The Cribs
Piss Off, FFS
Plain Jane, Jewel
Planes, Jeremih
Planet A, The Devil Wears Prada
Plastic, Eli Young Band
Plastic, New Order
Plastic Bag, Drake and Future
Play for Today, Belle & Sebastian
Play No Games, Big Sean
Player, Tinashe
Playing With Fire , Thomas Rhett
Please, Sawyer Fredericks
Please, Rod Stewart
Poison, Rita Ora
Poison Dream, Act of Defiance
Polaroid, Imagine Dragons
Poor Boy, Tyler Farr
Pop That Bottle, Jana Kramer
Postcards From Paradise, Ringo Starr
Power of Positive Drinkin', Chris Janson
Powerful, Major Lazer
Praying for Rain, Don Henley
Pressure Off, Duran Duran
Pretty Faced Fool , Jewel
Pretty Girls, Britney Spears & Iggy Azalea
Pretty Pimpin, Kurt Vile
Pretty Things, Gretchen Peters
Price Tag, Sleater-Kinney
Pride, Stryper
Pride In Prejudice, Slayer
Principe Real, Panda Bear
Prisoner, The Weeknd
Prisoner 1 & 2, Lupe Fiasco
Prodigal, Sidewalk Prophets
Profondo, Alesso
Promesses, Tchami
Promise, Kid Ink
Promise Me Love, Reba McEntire
Proof, Chris Brown
Psycho, Muse
Pure Grinding, Avicii
Purpose, Justin Bieber
Push Pull, Purity Ring
Put A Flower In Your Pocket, The Arcs
Pyongyang, Blur
Queen, Raheem DeVaughn
Queen of Hearts, Saxon
Queen of Peace, Florence + the Machine
Questions, Donnie Trumpet & The Social Experiment
Quicksand, Björk
R.I.C.O., Meek Mill
R.I.P. 2 My Youth, The Neighbourhood
Radical Change, Tremonti
Radio Bikini, The Vaccines
Rat Race, Andy Mineo
Ratchet Commandments, Tink
Rattle That Lock, David Gilmour
Reach Up L.A., Siedah Garrett
Ready, Kodaline
Ready To Go , Empire Cast
Real Life, Jake Owen
Real Life, The Weeknd
Real Men Love Jesus, Michael Ray
REALiTi, Grimes
Really Really, Kevin Gates
Reapers, Muse
Rebel, Christina Milian
Rebel Heart, Madonna
Rebel Radio, The Prodigy
Record Machine, Buzz Cason
Record Year, Eric Church
Redemption, Sigma
Ref, Pentatonix
Reflections, Django Django
Regret, Everything Everything
Relapse, Carrie Underwood
Religion, Lana Del Rey
Remedy, Adele
Remedy, Zac Brown Band
Remember The Music, Jennifer Hudson
Remembering , Ashley Campbell
Renegade Runaway , Carrie Underwood
Renegades, X Ambassadors
Repentless, Slayer
Research, Big Sean
Rest Your Love , The Vamps
Restless, New Order
Reverie, Chris Isaak
Revival, Selena Gomez
Revive (Say Something), LuvBug
Revolt, Muse
Revolution, The Used
Revolve, John Newman
Rewind, Fetty Wap
Rewind, Kelela
Rewind, Kid Ink
Rhymes, Hannah Wants & Chris Lorenzo
Rhythm Bomb, The Prodigy
Ride, Twenty One Pilots
Ride Out, Kid Ink
Ride With Me, Baha Men
"Right Here, Right Now", Jordin Sparks
"Right Here, Right Now", Maddie & Tae
Right Now, Pat Green
Right Now, Clay Walker
Rio, Netsky
Riot, XXXTENTACION
Rise, Selena Gomez
Rise Up, Secrets
Risk, Alexandra Savior
Rites of Passage, Third Eye Blind
River, Leon Bridges
River Lea, Adele
River Song, The Maccabees
River Towns, Mark Knopfler
Riverman, Noel Gallagher's High Flying Birds
Road Home, MC Yogi
Road Less Traveled, Lauren Alaina
Roads, Lawson
Roaring Waters, The Darkness
Robbed Blind, Keith Richards
Robin Williams, Cee Lo Green
Rock 'n' Roll is Cold, Matthew E. White
Rock Bottom, Hailee Steinfeld
Rockstar, Nelson
Rolling Stone, Hurts
Romeo, Chairlift
Roots, Imagine Dragons
Roots and Wings, Miranda Lambert
Roses, Krept & Konan
Roses, The Chainsmokers
Rotten to the Core," Dove Cameron, Sofia Carson, Cameron Boyce and Booboo Stewart"
Routine, Steven Wilson
Royalty, Conor Maynard
Rum Is the Reason, Toby Keith
Rumors, Adam Lambert
Rumour Mill, Rudimental
Run, Ne-Yo
Run, Awolnation
Run, Bring Me The Horizon
Run Away, Snoop Dogg
Run Away With Me, Carly Rae Jepsen
Run Run Run, Kelly Clarkson
Runaways, All Time Low
Runnin' (Lose It All) , Naughty Boy
Running, James Bay
Running for You, Kip Moore
Running with the Wolves , Aurora
S.O.B., Nathaniel Rateliff & the Night Sweats
Sad Boy, G-Eazy
Said No One Ever , Jana Kramer
Said Nobody, Old Dominion
Sailboat for Sale, Toby Keith
Saint Bernard, Ron Sexsmith
Saint Cecilia, Foo Fighters
Saint or a Sinner, Hunter Hayes
Sally, Hardwell
Salt & Light, Lauren Daigle
Salvatore, Lana Del Rey
Same Girl, Austin Mahone
Same Old Love, Selena Gomez
San Andreas, Sugarcane Jane
Sancta Maria, Enya
Sandra's Smile, Blood Orange
Sandwich and a Soda , Tamia
Sapokanikan, Joanna Newsom
Sarah O'Sarah, The Darkness
Satellite, All Time Low
Satisfied, Renée Elise Goldsberry
Saturday Night, Brian Wilson
Saturday Night Gave Me Sunday Morning, Bon Jovi
Saturn's Pattern, Paul Weller
Savages, Marina
Save Me a Spark, Sleeping with Sirens
Save My Soul , JoJo
Saved, Khalid
Sax, Fleur East
Say Goodbye, Kid Rock
Say It, Third Eye Blind
Say It, Tory Lanez
Say Love, JoJo
Say Something, Karen Harding
