name,artists,id,release_date,hit
4 The Rest Of My Life,Robin Thicke,5lA1fhy1gsIBqOOWTRFvjQ,2013-01-01,0.0
40 Acres,"Pusha T, The-Dream",2B6NMtdXWY2W76tZulV3v4,2013-10-31,0.0
4x4 (feat. Nelly),"Miley Cyrus, Nelly",7pu0a2lDSnwQS0ERqAtCnS,2013-10-04,0.0
5 Minutes,Tinie Tempah,0cNdiLwd0nCBkktWCsg5JR,2013-11-04,0.0
50 Plates,"Rich Gang, Rick Ross",513adUXddiFlds8KrmlmFI,2013-01-01,0.0
57 Bel Air,Heidi Feek,4R1RtCwwfxtTYdqqAbrNuA,2013-10-08,0.0
5 AM,Katy B,5ETfX88k6ObHFamzAizrbR,2013-11-01,0.0
5 Am in Toronto,Drake,0FnxK9FEAQyPJ284QcieNb,2019-08-02,0.0
88,Wale,753D9SeE7XSwsEIk7Qn11j,2013-06-25,0.0
8:18,The Devil Wears Prada,2b3LBsDr9ZvMIiy7zxEjj9,2013-09-11,0.0
_Arc_,Everything Everything,7an8mTKpnCyaEiih64Ywdd,2013-01-14,0.0
A Case For Shame - feat. Cold Specks,Moby,2DItEBAPaXbxNOz1z7z9qx,2013-09-30,0.0
A Certain Light,Josh Ritter,461ptPspJoCJ3eoaXaCjnf,2013-03-05,0.0
A Couple Of Forevers,Chrisette Michele,2Vlk8O848wZuu9CLWnAYSb,2013-01-01,0.0
A Door into Summer,Joe Satriani,3aaz6FovCZlZ8OLQPKydqh,2013-05-07,0.0
A Girl and His Cat,Biffy Clyro,34bttA9NEtvRwuDQ75TzDe,2013-01-28,0.0
A Hot Minute,Lisa Loeb,27vO4AywP5tzCbPKPHEpeJ,2013-01-29,0.0
A House Divided,Megadeth,4EYex4xMV3Rgs02rs86iEy,2013-01-01,0.0
A Life Embossed,Protest The Hero,347MGAZ6Fd1BCPfvaO8JYq,2013-10-29,0.0
A LIGHT THAT NEVER COMES,"Linkin Park, Steve Aoki",3BnBKNItMng824sLx0pUfy,2013-10-25,1.0
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip, GoonRock",1mz9ZrRYu3EPVg9ZHFtjjf,2013-01-01,1.0
A Love Like War (feat. Vic Fuentes),"All Time Low, Vic Fuentes",0TPF6uW7fhMXJPoBERqTy5,2013-09-30,0.0
A Song About Love,Jake Bugg,7JsFpqsdZvFIxZqfrv6COX,2013-01-01,0.0
A Tattered Line of String,The Postal Service,4T3yx8Ugtgim1zYwNbBpRE,2003-02-19,0.0
A Ton of Love,Editors,7aFAM7XDfFmCJEDuEGhRK3,2013-07-01,0.0
A Tooth for an Eye,The Knife,51dXFarmGXwJI75jxJaKyf,2013-04-05,0.0
A Town Called Jubilee,Elton John,1g8MAMAyG2VdBAXU3RgFGR,2013-09-16,0.0
A Wolf Amongst Ravens,After The Burial,7pwkMTD1dDqHZyCuUko2Aw,2013-12-17,0.0
A World Without,Queensrÿche,2iDyLMg0LbjBKePILO88pI,2013-06-25,0.0
Asshole,"Eminem, Skylar Grey",0OOv1XGVVzUgTIzomIHfR0,2013-11-05,0.0
A.M.,Chris Young,7AI5v0wFQeliV1ocAsiObb,2013-09-16,0.0
About Farewell,Alela Diane,1MR1SGYUOLdSwZLRHxt8We,2013-06-25,0.0
About That Life,Attila,2kg6xSbkMXH36655I5iJMN,2013-06-25,0.0
Above and Beyond,Deep Purple,0zoREBwE7Pb0NTqkwpjgrX,2013,0.0
Acapella,Karmin,6RjW45KHJ6kgI2xQ1aFa52,2014-03-21,1.0
Accident Without Emergency,Biffy Clyro,4rf6hDssDKaHeJca53zmo3,2013-01-28,0.0
Accidental Racist (feat. LL Cool J),"Brad Paisley, LL Cool J",23q6Nowh5GeqtY5jTDzKyQ,2013-04-09,0.0
Acid Rain,Alexis Jordan,33zraYoCg6Rl7uIodYLdGG,2013-02-20,0.0
Acid Rain,Avenged Sevenfold,7yOHHVY8AhsNt297yEcHVE,2013-08-23,0.0
Addicted To Pain,Alter Bridge,74ODL6xFR2erTu2mvXFIDz,2013-01-01,0.0
Addicted To You,Avicii,4eDYMhIin1pSLIG96f1aD0,2013-01-01,0.0
Adore You,Miley Cyrus,5AnCLGg35ziFOloEnXK4uu,2013-10-04,1.0
Afraid,Neko Case,7fCFecvXW9lHZoEX9bJPlX,2013-09-03,0.0
Afraid of Heights,Wavves,4upJkh7ZVt0LINoGwm4lpc,2013-03-26,0.0
After All (feat. Bryan Adams),"Michael Bublé, Bryan Adams",6l8tOyMl3Hige13zDSVtzF,2013-04-11,0.0
After the Fire,Andrew McMahon in the Wilderness,15pMcNeKxkq3KroaDlVxJC,2013-04-30,0.0
After the Music's Stopped,Jake Owen,1JODw3Bt87xpXw5Pw4Phjz,2014-11-17,0.0
Afterglow,"Wilkinson, Becky Hill",6LW3Z1GqbL78TIjfDyg4zp,2013-01-01,0.0
Afterlife,Arcade Fire,7rL602DQps4QmrrjbinLzP,2013,0.0
Afterwards (Bring Yo Friends),"Kid Cudi, Michael Bolton, King Chip",5z1lpbFYgV4xdAxsBk3x5k,2013-04-12,0.0
Age Of Reason,Black Sabbath,0BfFxZfRGcf6FOCpZ75tr0,2013-01-01,0.0
Ain't Even Drinkin',Tyler Farr,15TgU8pOzIj6RhijKNFta6,2013-09-27,0.0
Ain't It Fun,Paramore,1j8z4TTjJ1YOdoFEDwJTQa,2013-04-05,1.0
Ain’t No Hat 4 That,Robin Thicke,1DdYlujfj7sUd6HxJF1Pa0,2013-01-01,0.0
Ain't That Some Shit - Interlude,J. Cole,36EuAF2kv6VN6alsEXfi3h,2013-06-18,0.0
Air,Buckcherry,3v37DBaFQiYqajWQwmQboh,2013-02-19,0.0
Alice,Darwin Deez,0FX59r8okTIVvjN8PhLdrW,2013-02-12,0.0
Alien,Britney Spears,3eBxSM7L8AL5wcYd1t4NC0,2013-11-30,0.0
Alien Days,MGMT,33rOTAUrmU6RTu3WsJLp5Q,2013-09-16,0.0
Alive,Bo Bruce,4yIndYoeETzTjMwO5kMlXP,2013-01-01,0.0
Alive,Jessie J,2VthUPIyeeE7Xh31Grb609,2013-01-01,0.0
Alive,"Chase & Status, Jacob Banks",74HHgWX80N5YfZpvEQOUov,2013-01-01,0.0
Alive or Dead,Frownz,0Q8IRkWnAD1TuIYlZsH4nc,2013-09-15,0.0
All About You,Birdy,3WmeTmPFJegeMM88qz8J0p,2013-09-16,0.0
All Alright,Zac Brown Band,0Bo95z626OhKicgVoPBOrS,2013-12-10,0.0
All-American Middle Class White Boy,Thomas Rhett,1iARsM5ytbtop4aCn7jAU5,2013-01-01,0.0
All Bad,Justin Bieber,3JNEXPTnSxqlxNqhTW61D2,2014-05-13,1.0
All Cried Out,Kree Harrison,5vEiAHMhT8etrOTpWTyg8L,2013-05-17,0.0
All Ends Well,Alter Bridge,3QbPVemMWa0Q4wJPMOSh87,2013-01-01,0.0
All Hell Breaks Loose,Black Star Riders,6mI6VaCM7Q825lLZLWZ26g,2013-05-24,0.0
All I Want,Kodaline,0NlGoUyOJSuSHmngoibVAs,2013-06-17,0.0
All I Want,B.o.B,3dtf3Y9J1Yba0pq4J9JtBx,2013-12-16,0.0
All I've Ever Needed,AJ Michalka,07bMzwSvVsACtS8CpB1qcu,2013-01-01,0.0
All in the Wrist,Darwin Deez,1odi9pLMqhPZ44ovGsRXvD,2013-02-12,0.0
All is Forgiven,Jim James,6ge9SpzukZ4mWEBJ4dNZty,2013-02-05,0.0
All Lips Go Blue,HIM,4wYsT78O4NqHzGqvOqgD6d,2013-04-30,0.0
All Me,"Drake, 2 Chainz, Big Sean",7y911sqgHGHcyU4ivapjwi,2013-01-01,1.0
All Night,Icona Pop,15iosIuxC3C53BgsM5Uggs,2013-08-27,0.0
All of Me,John Legend,3U4isOIWM3VvDubwSI3y7a,2013-08-30,1.0
All or Nothing (feat. Camille),"Roll Deep, Camille",3IsErGNpqJSxJzZGDNUib6,2013-07-19,0.0
All That I've Got,Rebecca Ferguson,2i3bTAnlf5VkKZOooGPYK1,2013-12-02,0.0
All That Matters,Justin Bieber,70XP39KE8vTgxtRXcwfxJA,2014-05-13,1.0
All the Love You Got,Diane Birch,0ZBu8XNATNCWNo4XzGSNh4,2013-10-15,0.0
All The Time,The Strokes,7uFZNMEZzAGOwQ6EZID1K4,2013-03-25,0.0
All the Time in the World,Deep Purple,3cijsiEz2hqD8YTnafAw2D,2013,0.0
All the Way Home,Tamar Braxton,6rvKqjSuVP02HzGiV4G4iq,2013-09-03,0.0
All the Wrong Places - Starkillers Remix,"Example, Starkillers",3FzqLitgyhqTsctNsuFqrd,2013-09-06,0.0
All Things,Citizen Way,50ZIrLL1Tu8t9KhTefN6aP,2014-09-23,0.0
All Things All At Once,Tired Pony,2PwNrCOMyzBDKKRbM3ZcWR,2013-01-01,0.0
All We Need Is an Island,"Sammy Hagar, Nancy Wilson, Mickey Hart",5hmwmq09bhcwWLqN3k8VHS,2013-09-24,0.0
All Who Remain,Beware Of Darkness,4PmbIvTqxMdj0KuUIPq7lT,2013-05-07,0.0
Alligator,Paul McCartney,4fMdy1XGMDTFEaJUDFXoKZ,2013-10-15,0.0
Almost Home,Mariah Carey,6JZXpVvOOiSfZVeT7UPvX9,2013-01-01,0.0
Almost Is Never Enough,"Ariana Grande, Nathan Sykes",442j8VxaB60dWf9cBFuX5w,2013-01-01,0.0
Alone,Falling In Reverse,0ec00yFSgcl3xavTlPXTHu,2013-06-18,0.0
Alone Together,Fall Out Boy,5MsZIaCYY6Tsdph0LiB0hE,2013-01-01,1.0
Along for the Ride,Dream Theater,0mnEyl2VAoakpGmYOGR6WV,2013-09-16,0.0
Along for the Ride,Randy Houser,6NkfDfyeBNvqq5t22CMc3y,2013-01-22,0.0
Already Callin' You Mine,Parmalee,3jSyE8r8vgg8fmwojoMzql,2013-12-10,0.0
Already Home,Hanson,5tu1W1B4Lz7Oh88iDEDZUW,2010-06-08,0.0
Alvar,Goldfrapp,1dllIXqI8oKAHIb6yxH5f3,2013-09-09,0.0
Always,Killswitch Engage,0fE5kL2rRlaSQ86OvZG1NX,2013-03-29,0.0
Always Be Your Girl,Céline Dion,0g4D7pcU9tuRuDg8wu2kY5,2013-11-01,0.0
"Always There, in Our Hearts",The Flaming Lips,3EaogCkhZTnvP7zYmRR86P,2013-04-12,0.0
Amaze Me,Union J,4F6y0ubXSl4cZRArVekMbT,2013-10-28,0.0
Amen,Bon Jovi,3nVvupcInKFHHLCt8ggbQe,2013-01-01,0.0
American Girl,Bonnie McKee,0vvG0VEN6l2fbIEUtq3mQD,2013-07-23,1.0
American Noise,Skillet,1fnoHCcNPvcLx2ZKyTVFg0,2013-06-21,0.0
Amidinine,Bombino,0JRBZ5RZGLhZKUoDIgaxQc,2013-01-28,0.0
Amok,Atoms For Peace,26xJxjKLwjg3nmEvZnZlxB,2013-02-25,0.0
Amy (feat. V),"Goodie Mob, V",3FDbgga7EOTLDDs7zKyGjG,2013-08-26,0.0
And The Radio Played,Lady A,5XkKUDn5iclVE9nv7Gbsq9,2013-01-01,0.0
And the Snakes Start to Sing,Bring Me The Horizon,5gawwgpayyI5xRadHUAEvx,2013-04-01,0.0
Andro Queen,Pixies,3SsUuUNxdwelVZo5SbOQFc,2014-04-28,0.0
Angel,Depeche Mode,24nDMmzJlHcDfF8iSXWFnA,2013-03-25,0.0
Animal,The Pigeon Detectives,6h8bnkj75QPDHHXih6dFyG,2013-01-27,0.0
Animals - Extended,Martin Garrix,6JEntXLt4z98CcDtIH9sU7,2013-01-01,1.0
Anklebiters,Paramore,3hgzEGrm5iTY6pkgJ827qX,2013-04-05,0.0
Annabel,Goldfrapp,6gAFbNBhnjDqcQELvw2k4R,2013-09-09,0.0
Annie I Owe You A Dance,Tim McGraw,1IPXJil3wHXAnTJAkfxnD1,2013-01-01,0.0
Another Day Gone,Parmalee,13vLRLt9yozP6w5kH3pxOc,2013-12-10,0.0
Another Guy,Travis,5MqOvSuG0hS91OkmtHvSrc,2013-08-19,0.0
Another Is Waiting,The Avett Brothers,5dFeNkfQT1l8XdEA990jxP,2013-01-01,0.0
Another Soulmate,Jane's Addiction,6oZmwtKOGoYPeaLlo1tYVp,2013-08-06,0.0
Another Spring,Blue Sky Riders,0ppYXMAUOMRz75lJYb25wf,2013,0.0
Another You,Orianthi,2wRZGggR8x69WIMX8Ew2kE,2013-03-12,0.0
Antenna - UK Radio Edit,Fuse ODG,70HSjj818HXGcmr62N1syA,2013-06-02,0.0
Anthem for a Lost Cause,Manic Street Preachers,5DLWJSfmBKZ6iRPXQGK7Fx,2013-09-16,0.0
Antiphon,Midlake,2UEj3Zc2bTPt3WAAHgUVuz,2013-11-05,0.0
Antivist,Bring Me The Horizon,1fUacP7XP697l6ry01oO4d,2013-04-01,0.0
Anxiety's Door,Merchandise,4TnED3AwIT8sa1qCDyPAed,2013-04-02,0.0
Any Weather - 606 Version,Joan Jett & The Blackhearts,2CTg3tkwVj4SPpJVlb2xEm,2013-09-30,0.0
Anymore,Frank Turner,0bhuyp4TDiY3UpPFhdfWK4,2013-01-01,0.0
Anywhere But Here,"Five Finger Death Punch, Maria Brink",4nE7IAvfzFkDXPb2nx1Epz,2013-07-30,0.0
Applause,Lady Gaga,5ka2ajep9OAvU5Sgduhiex,2013-11-11,1.0
Appreciate,Paul McCartney,2i2leesR8wsquTWFPcqVtP,2013-10-15,0.0
Arabella,Arctic Monkeys,7nzsY8vlnKdvGOEE0rjAXZ,2013-09-09,0.0
Are You Getting Enough?,"Professor Green, Miles Kane",2Rd7PrIrRvrTMQr7gq0gwJ,2013-01-01,0.0
Are You In Love With A Notion?,Courteeners,0p2C31AP0y4LuytifY2P2m,2013,0.0
Are You Looking After Yourself,Courtney Barnett,4SsXLGXkLBmYGDB7HecGX5,2013,0.0
Area 52,Yeah Yeah Yeahs,0Cjt1vdhfJZzQkrOgZWkKw,2013-01-01,0.0
Armourland,Everything Everything,6qW6079QAxNT4PTqvdtTeL,2013-05-28,0.0
ARTPOP,Lady Gaga,73zDQykFwu3yT5VQ6MwYbh,2013-11-11,0.0
As a Child,Portage and Main,1QfZzSvw1Fpw69CtsXccjA,2013-01-22,0.0
As Holy As the Soil (That Buries Your Skin),Manic Street Preachers,5vwC9yW7adNobhthVbdqCm,2013-09-16,0.0
Ascent Intro,Wiley,6Nk9j47VyMLv3y11udeWqN,2013-03-29,0.0
Ashley,"Big Sean, Miguel",34Dk0bzjsXFDluNOgCwBAM,2013-01-01,0.0
Ashtrays and Heartbreaks (feat. Miley Cyrus),"Snoop Lion, Miley Cyrus",563HSFCHokFZGaNL4WY4dY,2013-04-19,0.0
Asylum,John Legend,7lomZYWSJafp2msfEQyjy5,2013-08-30,0.0
At Night In Dreams,White Denim,402inY9UFrPImLssOP0Wo8,2013-10-01,0.0
aTENTion,M.I.A.,7H3af14SRxIngvkRs5575e,2013-11-05,0.0
Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,2DI0fZ4QZmLtapszYaoG6F,2013-01-01,0.0
ATM Jam,"Azealia Banks, Pharrell Williams",4Vsho7lo0Eu4Tn5EPiSSb5,2013-08-30,0.0
Atmosphere,Kaskade,79BziE0cPQD2MZBJwXsB1P,2013-09-10,0.0
Attracting Flies,AlunaGeorge,68FYHHZVhTNEatQ0Q8OQWD,2013-01-01,0.0
Aura,Lady Gaga,3fibIzbkYbvTmdoD5u2nPm,2013-11-11,0.0
Avant Gardener,Courtney Barnett,3LueS3mbuB1yaJNN0Ale6U,2013,0.0
Avatar,Dayshell,5hEkr6P6O69e0WvurbBSef,2013-10-15,0.0
Aw Naw,Chris Young,53Dj5PCDhb22qWqmre3YQs,2013-09-16,1.0
Awful Sound (Oh Eurydice),Arcade Fire,7GUZMdfx59cnVjgbDhy9Rx,2013,0.0
Axis,Pet Shop Boys,6WGhkTj9VgrrOl4lxa0c91,2013-07-15,0.0
Ayatollah of Rock 'N' Rolla,Soulfly,169qsAKchl9D3FxZnWi2DW,2013-10-04,0.0
Ayo!,Andy Mineo,3b1NW5WW53vEdxFyMHUibf,2013-04-16,0.0
Baby Blue,King Krule,6Ko6VLnveSju6IZiwONLTt,2013-08-24,0.0
Baby I,Ariana Grande,6NmCCgnQcxKHPOAKgd9Nth,2013-01-01,0.0
Back of My Hand,Ron Sexsmith,5KErttKZSL7dGxFsOrR8DL,2013-02-03,0.0
Back To Love,"DJ Pauly D, Jay Sean",5MA073FFuaaP8TB26zKCVh,2013-04-30,0.0
Back To Me Without You,The Band Perry,0ZUVBMdmRy2NoaOMSsFQN5,2013-01-01,0.0
Back to the Start,Martin Smith,6RzGLCQQQ9JxOABRfp55bR,2013-04-21,0.0
Back When We Were Beautiful,"Emmylou Harris, Rodney Crowell",566HurbIaUDyCOEBdU6o0X,2013-02-22,0.0
Backwaters,Drenge,1o1wii660RlJxvfDj986Km,2013-08-19,0.0
Backyard Skulls,Frightened Rabbit,5Hq1tPpryUNOwEjXy2B0Cv,2013,0.0
Bad (feat. Rihanna) - Remix,"Wale, Rihanna",5yhKaacMZGRo4s6evJx9vk,2013-06-25,1.0
Bad Day,Justin Bieber,4VAngYbLewVFpcLR9FpYfR,2014-05-13,0.0
Bad Girl (feat. Marilyn Manson),"Avril Lavigne, Marilyn Manson",1HiV8vDg7l9eKp6abjvA7P,2013-11-01,0.0
Bad Guy,Eminem,3IaAYtmN8T0YIYVqnxNnVz,2013-11-05,0.0
Bad Habit,Foals,5dYOZd1oZCdsldO7JQMdDx,2013-01-31,0.0
Bagboy,Pixies,6pdL1JUG8PRJ0PFCm1Z8fy,2014-04-28,0.0
Ballroom Figured,Beady Eye,5DP5SC21o7aMt5hdERNIOe,2013-01-01,0.0
Bang Bang,will.i.am,3owESnQzGKXJhdZQDdXppK,2013-01-01,0.0
Banga! Banga!,Austin Mahone,6U1BxN8z00uOno5MOPeUPt,2013-11-10,0.0
Bankrupt!,Phoenix,3S2fEQ4HsC292cKdgkN5Ao,2013-04-23,0.0
Baptized,Daughtry,4vULYUkzk4KZ7h3doUsCYq,2013-11-15,0.0
Barefoot and Buckwild,Lauren Alaina,4oZwZQdVFXRia8bTayd9FR,2013-01-01,0.0
Barriers,The London Suede,3cqR6JLLjGquPPMAUTIByV,2013,0.0
Bassline Junkie,Dizzee Rascal,1o1x4gUntwc9sqeMDWR9eE,2013-01-01,0.0
Bathed In Grey,King Krule,37Y4b4F4UulmLW09HmbWto,2013-08-24,0.0
Battle Born,Five Finger Death Punch,3nRanAfF9K36yHWV9sIG9D,2013-11-19,0.0
Battle Cry,"Angel Haze, Sia",13kiXTWqDhjZFh6A8dsJvl,2013-01-01,0.0
Battleships,Daughtry,0YpzP03QziAgqcZSCtjbl2,2013-11-15,0.0
BBC,JAY-Z,0ftpc9EOGzCOFzeTioekK3,2013-07-04,0.0
Be Alone,Paramore,07isIbQefUUFa28iA0dzHR,2013-04-05,0.0
Beach Is Better,JAY-Z,5b7bw99d54cVx1kEJHqGA1,2013-07-04,0.0
Beachin',Jake Owen,5dNGORzxFb5z3v7vSAFkTU,2013-12-02,1.0
Beat of the Music,Brett Eldredge,3un2KQUaQ2brEpd8dK93wI,2013-08-06,1.0
Beat The Shit,"Lil Wayne, Gunplay",4lbdubTAn1l8XZc4803AJf,2013-01-01,0.0
Beautiful Day,Joshua Radin,1aMvViuAn7i8gRapm8C0p8,2013-05-07,0.0
Beautiful Life,Union J,27Pd8tBcHn9PZvim2vJhYe,2013-10-20,0.0
Beautiful Pain,"2 Chainz, Lloyd, Ma$e",3cEwW0OE6GhpufUNdOFKna,2013-01-01,0.0
Beautiful Pain,"Eminem, Sia",7hiBhOh4s8G0xmGYBAjyuw,2013-11-05,0.0
Beautiful War,Kings of Leon,3iKmdCDZK4XmqxIA9fVVGs,2013-09-24,0.0
Beauty in Tragedy,August Burns Red,1KA41c2rMefD2Co4YEU6CN,2013-06-25,0.0
Because We Can,Bon Jovi,2ICDzsIPWJZk0YR0tPFDlQ,2013-01-01,0.0
Bed Peace,"Jhené Aiko, Childish Gambino",5Ck3e6z1bcSCes5gdo0Ddt,2013-01-01,0.0
Been Caught Cheating,Stereophonics,6yNT4GWkOud1ea7V2UxW2P,2013-03-04,0.0
Beer In The Headlights,Luke Bryan,1eFiehZXXGbxfkZx9mraUj,2013-01-01,0.0
Before I Ever Met You,BANKS,5enJVxmVHb0ncSqG3zLIcT,2013-02-26,0.0
Before We Knew They Were Good,Toby Keith,4gBoCxm0M1bueAO3XCojP4,2013-10-28,0.0
Beginning Of Sorrow,Megadeth,3MukYE0LyQELSCjcZIlcTs,2013-01-01,0.0
Behind Closed Doors,Pop Evil,01ZtY0A5Z7jMnnZUt0NHGo,2013-05-14,0.0
Behind the Veil,Dream Theater,2zA4Zy2oonhVXzoRglnJFz,2013-09-16,0.0
Being Pretty Ain't Pretty,"Pistol Annies, Miranda Lambert, Ashley Monroe, Angaleena Presley",1AuvN4A9WmFFiFmvGmii2J,2013-05-07,0.0
Believe in Me (Radio Edit),Bonnie Tyler,6CEcpl4x9xv0KPe6o2xiDA,2013,0.0
Believer,American Authors,64ybTt8CKxPdeXBNnu08Op,2014-01-01,0.0
Belong To The World,The Weeknd,3D7izPzeEcz7lBhcCZJccl,2013-01-01,0.0
Below the Line,Josh Groban,5qrkLSD1Lf1K9ZwdrMTpzN,2013-02-05,0.0
Berzerk,Eminem,6Xk7PnitV9jCRorWt2LiVZ,2013-11-05,1.0
Best Day Of My Life,American Authors,5Hroj5K7vLpIG4FNCRIjbP,2014-01-01,1.0
Best I Ever Had,Gavin DeGraw,2bN0VoXCagktb6yAi9942I,2013-10-09,1.0
Best of Times,Sheryl Crow,74k27gGRRskIdlZ4aiN2cS,2013-09-03,0.0
Best Song Ever,One Direction,5T7ZFtCcOgkpjxcuaeZbw0,2013-11-25,1.0
Better,Maggie Rose,4KGfgBUBuHoYIfh02RUX5p,2013-03-13,0.0
Better Left Unsaid,Ariana Grande,5Pnny78GESkBSLnxFmhRYZ,2013-01-01,0.0
Better Man,Portage and Main,7bq558cHKjcQeGX7j3n9MP,2013-01-22,0.0
Better Not To Know,"Amy Grant, Vince Gill",1wDz2KEtxAbyKj4AoA02ms,2013-05-14,0.0
Better Than Words,One Direction,4qG3Um3jXlQnaQV1yVo3it,2013-11-25,0.0
"Better You, Better Me",Alicia Keys,3tSSVhWQsb80AnKAdWmEm1,2013-10-11,0.0
Beware,"Big Sean, Lil Wayne, Jhené Aiko",6bxUnsSGZCmoHHU5auwtps,2013-01-01,1.0
Beyond,Daft Punk,0k1xMUwn9sb7bZiqdT9ygx,2013-05-17,0.0
Biblical,Biffy Clyro,4oFEus9krS5v57wAcggcEz,2013-01-28,0.0
Big Banana,"Havana Brown, R3HAB, Prophet",0MpteL0nix5vOyT2lPxCRb,2012-01-01,0.0
Big TV,White Lies,51pmxyLDp9VS592lRJ5Ru4,2013-01-01,0.0
Big When I Was Little,Eliza Doolittle,4RcriZ7GVTxqzAWaCLP4nT,2013-10-11,0.0
Billion Lights,JLS,2ZTECZ6n3jCqBWxZcQzuvb,2013-11-18,0.0
Birth,Thirty Seconds To Mars,39smUeOuGpBPSfnxGkPfFV,2013-01-01,0.0
Birthday,Katy Perry,2xLOMHjkOK8nzxJ4r6yOKR,2013-10-18,1.0
Birthday in Los Angeles,The Maine,10J2smxgutWDGTeFy4kYp8,2013-06-04,0.0
Bitter Rivals,Sleigh Bells,1VZ4S2A6eUdp1d3WxH4xR8,2013-10-08,0.0
Black Bart,Volbeat,3lQIYJk2VrpvzZFOPR3ZPD,2013-01-01,0.0
Black Belt,John Grant,4mfMwQoMdOeW3u2vLxY9DY,2013-05-14,0.0
Black Cat Bone,The Mission,5ljE4U89fJREgpLVkNAkdB,2013-09-17,0.0
Black Chandelier,Biffy Clyro,3PnMua6rBLkc2MZ9atsSOq,2013-01-28,0.0
Black Dog Barking,Airbourne,6d8xsCydBzk1kEGhiMdjzu,2013-05-17,0.0
Black Heart,Stone Temple Pilots,7wofq9SjgI1bvPWQ80rLtF,2013-10-08,0.0
Black Nemo,Okkervil River,5PBJem2YryLOiSE38qxLfZ,2013-09-03,0.0
Black Out The Sun,Sevendust,5phsN1qTbBz0ZCYtcQ4ndW,2013-03-26,0.0
Black Skinhead,Kanye West,722tgOgdIbNe3BEyLnejw4,2013-06-18,1.0
Black Spot,Local Natives,6DazYogn9sOn9y6cNZG9ZO,2013-01-29,0.0
Black Swan,Andrew Stockdale,7sbEsLTi6NIkLGSswUWniO,2020-03-02,0.0
Black Widow,Booty Luv,7935e4bzZWvLzq8X6Ijlu4,2013-02-03,0.0
Black Widow,Cage The Elephant,3zQJdKcFjiHEz7Xqum4bom,2013-10-08,0.0
Black-hearted Woman,"Andrew Lloyd Webber, Ricardo Coke-Thomas",5n9NvcUANc8BqcXJQT9ePY,2013-01-01,0.0
Blackbird,Dido,1AshbncbNLUDARlgcCT1oP,2013-03-04,0.0
The Blackest Crow,Megadeth,1344ULDX1kaeG0NdobPkZR,2013-01-01,0.0
Blackout (feat. Shakka),"Wretch 32, Shakka",6yKVGPpEzUrTXczmirZQDy,2013-05-10,0.0
Blame It on Love,Los Lonely Boys,7Jc0q90Dam2KHWcPqZfzTb,2013,0.0
Blameless,Building 429,0OfQ0bvc9Cs6FSZhyYkmMv,2013-05-31,0.0
"Bleed For Love (with Soweto Gospel Choir) - From ""Winnie Mandela"" Soundtrack","Jennifer Hudson, Soweto Gospel Choir",3LGBbp66XLHpqju2b8AHSz,2013-08-30,0.0
Bleed It Dry,Alter Bridge,7hsMvQfbErJ82LNq1kCwsf,2013-01-01,0.0
Bleed Out,Blue October,1NQ4npvn1gqrAZ1rbXfKYE,2013-08-20,0.0
Blind,Hurts,6pTt7MJxHYnpovS4w5NbRI,2013-03-08,0.0
Blind Eye,Ron Sexsmith,1L8SUv278EJvNsjxzxBlXt,2013-02-03,0.0
Blk & Blu,"Chase & Status, Ed Thomas",1ecmGOyBYpqBawwgoKIG4d,2013-01-01,0.0
Blood Brothers,Luke Bryan,4ggPIxXwOWReIBfyCVW8QI,2013-01-01,0.0
Blood Like Cream,Red Fang,6950ik0V6HCWgnLIFKe8FX,2013-10-15,0.0
Blood On The Leaves,Kanye West,42GcjriRK6srwHkfbkBqVl,2013-06-18,1.0
Blood On The Snow,Erasure,4xhmQ3j20c7S7As4g0lQjQ,2013-11-04,0.0
Blood Red,The Maine,442HxHearz16PhPlW7sntE,2013-06-04,0.0
Bloodshed,Soulfly,295S8DzCrMuhPztxBfrht2,2013-10-04,0.0
Bloodsports,Drenge,2zn3hrsi0nrTe42JJxMgC8,2013-08-19,0.0
Blow,Beyoncé,6wwrYruEgWlowPDZMq5116,2014-11-24,0.0
Blowin' Smoke,Kacey Musgraves,4oqD7zXh23uvf583rDkunI,2013-01-01,0.0
Blue (feat. Blue Ivy),"Beyoncé, Blue Ivy",2LjkT4gu5wO4JdeEYl0fMY,2014-11-24,0.0
Blue Crystal Glow,Jewel,0DZfigMiInMuboNbew3Jo4,2013-09-24,0.0
Blue Ocean Floor,Justin Timberlake,06aFFobYGQNlyqXcEmYPSm,2013-03-15,0.0
Blue on Blue,James Blunt,10EoTNZbyDi9NDqllbjPzf,2013-10-18,0.0
"Blues, You're A Buzzkill","Pistol Annies, Miranda Lambert, Ashley Monroe, Angaleena Presley",252kiSMUERz0kRRuc6TtjB,2013-05-07,0.0
Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",0n4bITAu0Y0nigrz3MFJMb,2013-01-01,1.0
Body Ache,Britney Spears,45MpoG2B3CEHoZa8OhrAw2,2013-11-30,0.0
Body Party,Ciara,0rFZaQ4crlGAzuCjWCQ2xu,2013-07-05,1.0
Bombs Away,Eels,7jAONBvuFGDDGzJJX05D0b,2013-02-05,0.0
