,name,artists,hit,sentiment,score
3694,I Will Be The End Of You,HIM,0.0,positive,0.976
3695,I Will Fight for You,Steve Kuban,0.0,negative,-0.9984
3696,I Will Love You Still,"Darius Rucker, Mallary Hope",0.0,positive,0.9922
3697,I Will Steal You Back,Jimmy Eat World,0.0,negative,-0.9735
3698,I Wish (feat. T.I.),"Cher Lloyd, T.I.",0.0,positive,0.9993
3699,I Wish,Sammy Adams,0.0,positive,0.999
3700,I Wish I Could Break Your Heart,Cassadee Pope,0.0,positive,0.9982
3701,I Wish I Still Smoked Cigarettes,Ronnie Dunn,0.0,positive,0.9892
3702,I Won't Let Go,Jay Nash,0.0,negative,-0.9997
3703,I Would,Justin Bieber,0.0,positive,0.9959
3704,I'd Rather Be High,David Bowie,0.0,negative,-0.9524
3705,I'd Rather Have a Love,Joe,0.0,positive,0.9995
3706,I'd Want It To Be Yours,Justin Moore,0.0,positive,0.9905
3707,I'll Fight,Daughtry,0.0,positive,0.9777
3708,I'll Probably Be out Fishin',Toby Keith,0.0,positive,0.966
3709,I'll Take You There - Bonus Track,David Bowie,0.0,positive,0.8295
3710,I'm A Keeper,The Band Perry,0.0,positive,0.9833
3711,I'm A Rider (Finally Home),Blue Sky Riders,0.0,positive,0.9267
3712,I’m Alive (Life Sounds Like),Michael Franti & Spearhead,0.0,positive,0.9996
3713,I'm Already Gone,A Day To Remember,0.0,neutral,0.3826
3714,I'm Aquarius - Acoustic; Live from Spotify Paris,Metronomy,0.0,positive,0.9957
3715,I'm In It,Kanye West,0.0,negative,-0.9803
3716,I'm Not Your Hero,Tegan and Sara,0.0,negative,-0.8832
3717,I'm Out (feat. Nicki Minaj),"Ciara, Nicki Minaj",1.0,negative,-0.9837
3718,I'm Ready,AJR,1.0,positive,0.9473
3719,I've Got Soul,Hanson,0.0,negative,-0.9997
3720,"I've Told You Now - Live At St Pancras Old Church, London",Sam Smith,0.0,positive,0.9736
3721,I. Crawl,Childish Gambino,0.0,negative,-0.9951
3722,I.M.Sin,Five Finger Death Punch,0.0,negative,-0.9954
3723,Ice On The Dune,Empire of the Sun,0.0,positive,0.9858
3724,Idolized And Vilified,Hatebreed,0.0,negative,-0.9531
3725,If,Glasvegas,0.0,positive,0.9793
3726,If I Could Change Your Mind,HAIM,0.0,positive,0.9924
3727,If I Had a Tail,Queens of the Stone Age,0.0,neutral,-0.264
3728,If I Lose Myself - Alesso vs OneRepublic,"OneRepublic, Alesso",1.0,negative,-0.7579
3729,If Not Me,Craig Morgan,0.0,negative,-0.7648
3730,If Only Avenue,Ron Sexsmith,0.0,negative,-0.7661
3731,If We Had Your Eyes,Michelle Williams,0.0,positive,0.9972
3732,If We Only,Red,0.0,negative,-0.9975
3733,If You Can See Me,David Bowie,0.0,positive,0.6597
3734,If U Think That U Know Me,Orianthi,0.0,positive,1.0
3735,If You Wait,London Grammar,0.0,negative,-0.7783
3736,If You Want Some,Joel Crouse,0.0,positive,0.9961
3737,If You Were Here With Me,Orianthi,0.0,negative,-0.9741
3738,If You Were in Love,Boston,0.0,positive,0.9981
3739,IJSW,Anberlin,0.0,positive,0.9965
3740,Illumination Theory,Dream Theater,0.0,positive,0.9555
3741,Imagine It Was Us,Jessie Ware,0.0,positive,0.9765
3742,Immortal,Kid Cudi,0.0,positive,0.9858
3743,Impossible,Ryan Star,0.0,negative,-0.8488
3744,In A Minute,Thomas Rhett,0.0,positive,0.9879
3745,In a World Like This,Backstreet Boys,0.0,positive,0.9971
3746,In Due Time,Killswitch Engage,0.0,neutral,-0.358
3747,In Heart,The Devil Wears Prada,0.0,negative,-0.8779
3748,In Hell Is Where She Waits for Me,The Black Dahlia Murder,0.0,negative,-0.9985
3749,In The End,Black Veil Brides,0.0,positive,0.9744
3750,In Two,Nine Inch Nails,0.0,negative,-0.9442
3751,In Your Arms Again,Josh Ritter,0.0,neutral,-0.3834
3752,In Your Arms Awhile,Josh Ritter,0.0,negative,-0.7003
3753,Incredible (with Ne-Yo),"Céline Dion, Ne-Yo",0.0,positive,0.9693
3754,Indian Summer,Stereophonics,0.0,positive,0.969
3755,Indie Cindy,Pixies,0.0,positive,0.9729
3756,Infallible,Pearl Jam,0.0,positive,0.7998
3757,Insecurity,Jason Dunn,0.0,negative,-0.9988
3758,Inside a Dream,Pet Shop Boys,0.0,positive,0.9835
3759,Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",0.0,positive,0.9968
3760,Interlude: I'm Not Angry Anymore,Paramore,0.0,positive,0.9161
3761,International Smile,Katy Perry,0.0,positive,0.9938
3762,Into The Night,HIM,0.0,negative,-0.9538
3763,Into The Past,NERO,0.0,neutral,-0.4588
3764,Introspection,MGMT,0.0,negative,-0.9099
3765,Invisible Empire,KT Tunstall,0.0,positive,0.7128
3766,Irish Boy,Patty Griffin,0.0,negative,-0.9162
3767,Irrelevant Walls and Computer Screens,Philip H. Anselmo and The Illegals,0.0,negative,-0.9977
3768,Is There Somebody Who Can Watch You,The 1975,0.0,positive,0.9457
3769,Islands,Sara Bareilles,0.0,positive,0.8507
3770,It Ain't Pretty,Lady A,0.0,negative,-0.8478
3771,It Ain't The Whiskey,Gary Allan,0.0,negative,-0.9428
3772,It Doesn't Matter to Him,John Grant,0.0,negative,-0.9665
3773,It Is What It Is,Kacey Musgraves,0.0,positive,0.883
3774,It Should Be Easy (feat. will.i.am),"Britney Spears, will.i.am",0.0,positive,0.9985
3775,It Starts And Ends With You,The London Suede,0.0,positive,0.9994
3776,It Takes Two,Katy Perry,0.0,positive,0.9746
3777,It Was My Season,Okkervil River,0.0,negative,-0.989
3778,It Won't Stop (feat. Chris Brown) - EP Version,"Sevyn Streeter, Chris Brown",1.0,positive,0.9954
3779,It's a Beautiful Day,Michael Bublé,0.0,positive,0.9957
3780,It's About Time,Young the Giant,0.0,positive,0.9184
3781,"It's Alright, It's OK",Primal Scream,0.0,negative,-0.9859
3782,It's Just Forever (feat. Alison Mosshart),"Cage The Elephant, Alison Mosshart",0.0,positive,0.9702
3783,It’s Just You,Filter,0.0,positive,0.975
3784,It's My Party,Jessie J,0.0,negative,-0.7659
3785,It’s Never Over (Hey Orpheus),Arcade Fire,0.0,positive,0.9746
3786,It's Over,Rod Stewart,0.0,negative,-0.7611
3787,It's That Time of Day,Kenny Chesney,0.0,positive,0.9885
3788,It's Time,"Big Sean, Jeezy, Payroll",0.0,neutral,-0.4771
3789,It's Your World,Tim McGraw,0.0,negative,-0.738
3790,IV Play,The-Dream,0.0,negative,-0.9854
3791,Iz Rite,Beady Eye,0.0,positive,0.8658
3792,Jack,Breach,0.0,positive,0.8625
3793,January,"Disclosure, Jamie Woon",0.0,positive,0.9851
3794,JAY Z Blue,JAY-Z,0.0,negative,-0.8978
3795,Jealous,Beyoncé,0.0,negative,-0.9918
3796,Jesus Was A RockStar,Scott Stapp,0.0,positive,0.9239
3797,Jesus Wept,Mavis Staples,0.0,neutral,0.3404
3798,Jewels N' Drugs,"Lady Gaga, T.I., Too $hort, Twista",0.0,positive,0.9554
3799,Jimmy Collins' Wake,Dropkick Murphys,0.0,positive,0.9923
3800,Joan of Arc,Arcade Fire,0.0,positive,0.9829
3801,Jock The Singing Welder,Sting,0.0,negative,-0.6503
3802,Jodeci Freestyle (feat. J. Cole),"Drake, J. Cole",0.0,negative,-0.9981
3803,John Doe (feat. Priscilla),"B.o.B, Priscilla",1.0,positive,0.9799
3804,Johnny Bagga' Donuts,Palma Violets,0.0,positive,0.7827
3805,Johnson Blvd,Amos Lee,0.0,neutral,-0.3466
3806,Joy to You Baby,Josh Ritter,0.0,positive,0.9934
3807,Jubel,Klingande,0.0,positive,0.8716
3808,Jubilee Street,Nick Cave & The Bad Seeds,0.0,neutral,0.4748
3809,Judge Jury and Executioner,Atoms For Peace,0.0,negative,-0.7579
3810,Juliet,Lawson,0.0,negative,-0.9467
3811,Jump Hi,"LION BABE, Childish Gambino",0.0,neutral,-0.0257
3812,Just a Girl,Brandon Heath,0.0,negative,-0.8452
3813,Just A Girl Like You,LeAnn Rimes,0.0,positive,0.9954
3814,Just Another Girl,The Killers,0.0,positive,0.9954
3815,Just Another Night - Radio Edit,Icona Pop,0.0,negative,-0.644
3816,Just for Now,Kelly Clarkson,0.0,negative,-0.5894
3817,Just Keep Breathing,We The Kings,0.0,positive,0.9689
3818,Just One Yesterday,"Fall Out Boy, Foxes",0.0,negative,-0.9822
3819,Just the Rain,Lonestar,0.0,negative,-0.9685
3820,K Hole,Sea Power,0.0,neutral,0.4519
3821,K.C.S.,Soulfly,0.0,negative,-0.9981
3822,Kalopsia,Queens of the Stone Age,0.0,negative,-0.9346
3823,Karate (feat. Charlie Daniels),"Brad Paisley, Charlie Daniels",0.0,neutral,-0.1157
3824,Karate Chop (Remix) (feat. Lil Wayne),"Future, Lil Wayne",1.0,positive,0.9906
3825,Keep A Watch,Empire of the Sun,0.0,neutral,-0.0392
3826,Keep Her On The Low,Mindless Behavior,0.0,negative,-0.8597
3827,Keep It To Yourself,Kacey Musgraves,0.0,negative,-0.8462
3828,Keep Them Kisses Comin',Craig Campbell,1.0,positive,0.9607
3829,Keep Your Eyes Peeled,Queens of the Stone Age,0.0,negative,-0.8692
3830,Kemosabe,Everything Everything,0.0,negative,-0.9951
3831,Kids,Mikky Ekko,0.0,positive,0.96
3832,Kinda Fuzzy,Eels,0.0,positive,0.9612
3833,King of the Underdogs,Newsted,0.0,positive,0.9394
3834,King Push,Pusha T,0.0,negative,-0.9908
3835,Kingmaker,Megadeth,0.0,positive,0.9785
3836,Kingpin,Jake Bugg,0.0,positive,0.7517
3837,Kiss Land,The Weeknd,0.0,positive,0.998
3838,Kiss You There,Ronnie Dunn,0.0,positive,0.9501
3839,Kisses Down Low,Kelly Rowland,1.0,positive,0.9997
3840,Kissing the Machine,Orchestral Manoeuvres In The Dark,0.0,positive,0.9961
3841,Kitchen Table,Jake Bugg,0.0,positive,0.8784
3842,Knee Deep In My Heart,Shane Filan,0.0,positive,0.8989
3843,Knee Socks,Arctic Monkeys,0.0,positive,0.6582
3844,Knockdown Dragout,"Sammy Hagar, Kid Rock, Joe Satriani",0.0,positive,0.9747
3845,Know Bout Me,"Timbaland, JAY-Z, Drake, James Fauntleroy",0.0,negative,-0.9227
3846,Know Til Now,Jim James,0.0,positive,0.5535
3847,Kolors,Goodie Mob,0.0,negative,-0.9764
3848,Kush Coma (feat. A$AP Rocky & Zelooperz),"Danny Brown, A$AP Rocky, Zelooperz",0.0,negative,-0.9927
3849,Kveikur,Sigur Rós,0.0,neutral,0.0
3850,L.A. Story (feat. Mike Posner),"Sammy Adams, Mike Posner",0.0,positive,0.9944
3851,La Familia,JAY-Z,0.0,negative,-0.7339
3852,La La La,"Naughty Boy, Sam Smith",1.0,negative,-0.9711
3853,Lab Monkey,Alice In Chains,0.0,negative,-0.9724
3854,Lady Black,Sons of the Sea,0.0,positive,0.9715
3855,Lance Jr.,Courtney Barnett,0.0,positive,0.9364
3856,Land Of The Snakes,J. Cole,0.0,negative,-0.9986
3857,Lanterns,Birds Of Tokyo,0.0,positive,0.8251
3858,Last Hope,Paramore,0.0,positive,0.9747
3859,Last Living Cowboy,Toby Keith,0.0,negative,-0.9021
3860,"Late March, Death March",Frightened Rabbit,0.0,negative,-0.9965
3861,Late Night,Foals,0.0,positive,0.9569
3862,Later On,The Swon Brothers,1.0,positive,0.9096
3863,Later...When the TV Turns to Static,Glasvegas,0.0,positive,0.7072
3864,Laurel,Goldfrapp,0.0,neutral,-0.3818
3865,Lay Down Your Weapons,"K Koke, Rita Ora",0.0,negative,-0.9989
3866,Lay It Down,"Lil Wayne, Nicki Minaj, Corey Gunz",0.0,negative,-0.9982
3867,Lay Low,Blake Shelton,0.0,positive,0.9118
3868,Lay Me Down,Avicii,0.0,positive,0.9791
3869,Le Pingouin,Carla Bruni,0.0,neutral,0.3595
3870,Lean - From “The Hunger Games: Catching Fire” Soundtrack,The National,0.0,positive,0.9988
3871,Learn to Dance,Andrew McMahon in the Wilderness,0.0,positive,0.9091
3872,Leather Jacket Love Song,The Cribs,0.0,positive,0.9325
3873,Leaves of Golden Brown,Harper Simon,0.0,positive,0.912
3874,Leavin' The Light On,Darius Rucker,0.0,positive,0.9734
3875,Leaving,Fight Or Flight,0.0,negative,-0.9947
3876,Legacy,"Nicky Romero, Krewella",0.0,positive,0.9309
3877,Legacy,Eminem,0.0,negative,-0.9734
3878,Legacy,Stryper,0.0,positive,0.956
3879,Legendary Lovers,Katy Perry,0.0,positive,0.9962
3880,Lessons,SOHN,0.0,neutral,-0.3818
3881,Let It Feel Good (My Eagles),White Denim,0.0,positive,0.9782
3882,"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,1.0,neutral,0.465
3883,Let Legend Mark Me As the King,Christopher Lee,0.0,positive,0.9294
3884,Let Me Go,Gary Barlow,0.0,positive,0.9884
3885,Let Me Go (feat. Chad Kroeger),"Avril Lavigne, Chad Kroeger",1.0,positive,0.6757
3886,Let Me Love It Out Of You,Tim McGraw,0.0,positive,0.9755
3887,Let Me Move You,Jimi Hendrix,0.0,positive,0.9937
3888,Let Nas Down,J. Cole,0.0,negative,-0.9967
3889,Let The Bass Go,Snoop Dogg,0.0,positive,0.9916
3890,Let the Groove Get In,Justin Timberlake,0.0,positive,0.9991
3891,Let Them See You,Colton Dixon,0.0,positive,0.6698
3892,Let’s Go,"will.i.am, Chris Brown",0.0,neutral,0.484
3893,Let's Go There,Brothers Osborne,0.0,neutral,0.25
3894,Lettin' The Night Roll,Justin Moore,1.0,positive,0.7107
3895,Levitate,Hadouken!,1.0,positive,0.9924
3896,Lie to Me,Cher,0.0,positive,0.9631
3897,Life Is Hard,Edward Sharpe & The Magnetic Zeros,0.0,positive,0.9984
3898,Life of Misery,Drowning Pool,0.0,negative,-0.9959
3899,Life of the Party,Jake Owen,0.0,positive,0.9955
3900,Life on a Rock,Kenny Chesney,0.0,positive,0.9934
3901,Lifetime,Noah And The Whale,0.0,positive,0.9825
3902,Lift Me Up,"Five Finger Death Punch, Rob Halford",0.0,positive,0.9784
3903,Lifted,"Naughty Boy, Emeli Sandé",0.0,neutral,-0.4552
3904,Light Me Up,Birdy,0.0,positive,0.9922
3905,Lighters (The One),Gabz,0.0,negative,-0.9765
3906,Lighthouse,Lucy Spraggan,0.0,neutral,-0.296
3907,Lightning Bolt,Pearl Jam,0.0,positive,0.9909
3908,Lights,Josh Ritter,0.0,neutral,0.1576
3909,Lights on,"Wiley, Angel, Tinchy Stryder",0.0,positive,0.9982
3910,Like A Champion,Selena Gomez,0.0,positive,0.9998
3911,Like a Cowboy,Randy Houser,1.0,positive,0.995
3912,Like a Drum,Guy Sebastian,0.0,positive,0.9852
3913,Like a Rocket Man,David Bowie,0.0,positive,0.9536
3914,Like a Rose,Ashley Monroe,0.0,positive,0.988
3915,I Come Apart (feat. Florence Welch),"A$AP Rocky, Florence Welch",0.0,neutral,-0.4101
3916,Like the Morning Dew,Laura Mvula,0.0,positive,0.9983
3917,Lil Snupe Intro,Lil Snupe,0.0,positive,0.9958
3918,Line Of Fire - Commentary,Junip,0.0,negative,-0.988
3919,Lion,Hollywood Undead,0.0,positive,0.9927
3920,Little Bit Gypsy,Kellie Pickler,0.0,positive,0.8832
3921,Little Bit Of Everything,Keith Urban,1.0,positive,0.9895
3922,Little Black Dress,Sara Bareilles,0.0,negative,-0.9571
3923,Little Black Dress,One Direction,0.0,positive,0.9302
3924,Little Green Amp,"Dave Davies, Anti-Flag",0.0,negative,-0.8447
3925,Little Hospitals,Biffy Clyro,0.0,negative,-0.9254
3926,Little Me,Little Mix,0.0,positive,0.9993
3927,Little Miss Tear Stain,Toby Keith,0.0,positive,0.688
3928,Little Space,The Limousines,0.0,positive,0.9802
3929,Little Umbrellas,Sarah Darling,0.0,negative,-0.6735
3930,Little Victories,Blue Sky Riders,0.0,positive,0.7922
3931,Little White Lies,One Direction,0.0,negative,-0.9914
3932,Live And Learn (It Will),"2 Chainz, Pusha T, Dolla Boy",0.0,negative,-0.9825
3933,"Live Fast, Die Beautiful",Escape the Fate,0.0,negative,-0.7682
3934,Live For,"The Weeknd, Drake",0.0,positive,0.9985
3935,Live For You,"LL Cool J, Brad Paisley",0.0,positive,0.9978
3936,Live It Up,"Jennifer Lopez, Pitbull",1.0,positive,0.9972
3937,Live It Up,Airbourne,0.0,negative,-0.9952
3938,Live Your Life,MIKA,0.0,positive,0.9928
3939,Lived a Lie,You Me At Six,0.0,positive,0.8049
3940,Livin' Life (On the Edge of a Knife),Bullet For My Valentine,0.0,neutral,-0.4098
3941,Livin' It Up (feat. Nicki Minaj),"Ciara, Nicki Minaj",0.0,positive,0.9645
3942,Living in the Eye of the Storm,Trapt,0.0,negative,-0.9942
3943,Lock You Up,Charli XCX,0.0,positive,0.9925
3944,Lockdown,Johnny Marr,0.0,negative,-0.5803
3945,Loco,"Enrique Iglesias, Romeo Santos",0.0,negative,-0.975
3946,Lola Montez,Volbeat,0.0,positive,0.9969
3947,Lolly,"Maejor, Juicy J, Justin Bieber",1.0,positive,0.9998
3948,Lonely Eyes,Chris Young,1.0,positive,0.5417
3949,Lonely Girl,Tonight Alive,0.0,neutral,0.4445
3950,Lonely Planet,Dorians,0.0,negative,-0.8158
3951,Lonesome Rider,"Volbeat, Sarah Blackwood",0.0,negative,-0.9773
3952,Long Hard Road,Alan Jackson,0.0,positive,0.8176
3953,Long Live Rock & Roll,Daughtry,0.0,positive,0.7531
3954,Long Teenage Goodbye,Lady A,0.0,positive,0.7481
3955,Long Time Lie,Depeche Mode,0.0,positive,0.836
3956,Long Way Down,Tom Odell,0.0,positive,0.9596
3957,Long Way to Go,Andrew Stockdale,0.0,positive,0.8448
3958,Look Right Through - MK Vocal Edit,"Storm Queen, MK",0.0,neutral,0.1397
3959,Look...The Sun Is Rising,The Flaming Lips,0.0,positive,0.9578
3960,Looking down the Barrel,Tinie Tempah,0.0,negative,-0.9888
3961,Lord Help Me,Rachel Holder,0.0,positive,1.0
3962,Lose to Win,Fantasia,0.0,negative,-0.9965
3963,Lose Yourself,Black Rebel Motorcycle Club,0.0,positive,0.9878
3964,Lose Yourself to Dance (feat. Pharrell Williams),"Daft Punk, Pharrell Williams",0.0,negative,-0.9978
3965,Losing Days,Frank Turner,0.0,neutral,0.199
3966,Losing Ground,Newton Faulkner,0.0,negative,-0.9521
3967,Losing Sleep,John Newman,0.0,positive,0.9942
3968,Lost & Not Found,"Chase & Status, Louis Mattrs",0.0,negative,-0.975
3969,Lost Generation,Rizzle Kicks,0.0,negative,-0.7389
3970,Lost Ones (feat. Paloma Faith),"Tinie Tempah, Paloma Faith",0.0,positive,0.9772
3971,Love & Meth,Korn,0.0,negative,-0.9951
3972,Love 2 Dislike Me,"Tech N9ne, Liz Suwandi, Tyler Lyon",0.0,negative,-0.9951
3973,Love Alone Is Worth the Fight,Switchfoot,0.0,positive,0.9607
3974,Love Cards,"Devlin, Etta Bond",0.0,negative,-0.9685
3975,Love Don't Die,The Fray,1.0,positive,0.9985
3976,Love Game,"Eminem, Kendrick Lamar",0.0,positive,0.9946
3977,Love Got Away,Boston,0.0,positive,0.996
3978,Love Has Come For Me,Colton Dixon,0.0,positive,0.9962
3979,Love In The Future (Intro),John Legend,0.0,positive,0.9894
3980,Love is a Bourgeois Construct,Pet Shop Boys,0.0,positive,0.996
3981,Love Is A Silent Thief,Katie Melua,0.0,positive,0.9856
3982,Love Is Everything,George Strait,0.0,positive,0.9922
3983,Love Is Everything,Ariana Grande,0.0,positive,0.9999
3984,Love Is Lost,David Bowie,0.0,positive,0.9014
3985,Love Is On The Radio,McFly,0.0,positive,0.9936
3986,Love Is The Answer,Aloe Blacc,0.0,positive,0.997
3987,Love Is to Die,Warpaint,0.0,positive,0.9814
3988,Love Is War,Hillsong UNITED,0.0,neutral,-0.0323
3989,Love Like This - Acoustic,Kodaline,0.0,positive,0.9987
3990,Love Locked Out,Lawson,0.0,positive,0.9993
3991,Love Me,"Lil Wayne, Drake, Future",1.0,negative,-0.9967
3992,Love Me,Katy Perry,0.0,positive,0.9967
3993,Love Me Again,John Newman,1.0,positive,0.9948
3994,Love Money Party (feat. Big Sean),"Miley Cyrus, Big Sean",0.0,negative,-0.93
3995,Love More (feat. Nicki Minaj),"Chris Brown, Nicki Minaj",1.0,negative,-0.9897
3996,Love Of My Life,Anna Calvi,0.0,positive,0.9578
3997,Love or Money (Single),Kristian Bush,0.0,positive,0.9985
3998,Love Sick,Sleigh Bells,0.0,positive,0.9727
3999,Love Somebody,Backstreet Boys,0.0,positive,0.9994
4000,Love Take Me Over,Steven Curtis Chapman,0.0,positive,0.9997
4001,Love They Say,Tegan and Sara,0.0,positive,0.9996
4002,Love Will Remember,Selena Gomez,0.0,positive,0.9993
4003,Love You Forever,Zendaya,0.0,positive,0.9989
4004,Loved By A Workin' Man,"Pistol Annies, Miranda Lambert, Ashley Monroe, Angaleena Presley",0.0,positive,0.9984
4005,Loved Me Back to Life,Céline Dion,0.0,positive,0.9959
4006,LoveHate Thing (feat. Sam Dew),"Wale, Sam Dew",1.0,positive,0.9965
4007,Lover Not a Fighter (feat. Labrinth),"Tinie Tempah, Labrinth",0.0,positive,0.9594
4008,Lovers Forever,Cher,0.0,positive,0.9921
4009,Lovesick,Peace,0.0,neutral,0.0946
4010,Loving You,"Matt Cardle, Melanie C",0.0,positive,0.9995
4011,Loving You Is Easy,Union J,0.0,positive,0.9997
4012,Loyal (East Coast Version) (feat. Lil Wayne & French Montana),"Chris Brown, Lil Wayne, French Montana",0.0,negative,-0.9992
4013,Lunatic,Rizzle Kicks,0.0,negative,-0.9428
4014,Lungs,CHVRCHES,0.0,neutral,0.0611
4015,M.I.N.E (End This Way),Five Finger Death Punch,0.0,negative,-0.9559
4016,Machine Gun,"Chase & Status, Pusha T",0.0,negative,-0.9525
4017,Machineries of Joy,Sea Power,0.0,positive,0.9925
4018,Mad Sounds,Arctic Monkeys,0.0,negative,-0.9157
4019,Made In The USA,Demi Lovato,1.0,positive,0.9937
4020,Made Of Glass,KT Tunstall,0.0,neutral,-0.4939
4021,Made to Love,John Legend,0.0,positive,0.9983
4022,Make a Move,Gavin DeGraw,0.0,neutral,-0.0433
4023,Make Believe,Backstreet Boys,0.0,negative,-0.9543
4024,Make It Back,Joan Jett & The Blackhearts,0.0,positive,0.8922
4025,Make It Out This Town - feat. Gabe Saporta of Cobra Starship,Eve,0.0,positive,0.9795
4026,Make Me Wanna,Thomas Rhett,1.0,negative,-0.5496
4027,Make Out,Rixton,0.0,positive,0.9974
4028,Mala,Devendra Banhart,0.0,positive,0.5859
4029,Mama Said Knock You Out,"Five Finger Death Punch, Tech N9ne",0.0,negative,-0.9584
4030,Man,Neko Case,0.0,negative,-0.7571
4031,Man Of The Year,ScHoolboy Q,1.0,negative,-0.9812
4032,Manhattan,Sara Bareilles,0.0,positive,0.6705
4033,MANiCURE,Lady Gaga,0.0,positive,0.898
4034,Marley,Kenny Chesney,0.0,positive,0.9136
4035,Marry Me,Jason Derulo,1.0,positive,0.986
4036,Mars,"Jay Sean, Rick Ross",0.0,neutral,0.1234
4037,Marshal Dear,Savages,0.0,neutral,0.3612
4038,Martyrs,The Devil Wears Prada,0.0,negative,-0.9972
4039,Mary Jane Holland,Lady Gaga,0.0,positive,0.9921
4040,Masquerade,I Am Kloot,0.0,negative,-0.9084
4041,Master Hunter,Laura Marling,0.0,negative,-0.9817
4042,Master of Savagery,Soulfly,0.0,negative,-0.9958
4043,MATANGI,M.I.A.,0.0,positive,0.782
4044,Maybe You're Right,Miley Cyrus,0.0,negative,-0.9811
4045,Me,The 1975,0.0,negative,-0.9924
4046,Me & My Girls,Fifth Harmony,0.0,positive,0.9529
4047,Me And You,Jake Bugg,0.0,negative,-0.9667
4048,"Me, Myself and Wine",Ron Sexsmith,0.0,positive,0.8311
4049,Mean to Me,Brett Eldredge,1.0,positive,0.631
4050,Meant to Be,TLC,0.0,negative,-0.9239
4051,Melody Calling,The Vaccines,0.0,negative,-0.6553
4052,"Memories Back Then (feat. B.o.B, Kendrick Lamar & Kris Stephens)","T.I., B.o.B, Kendrick Lamar, Kris Stephens",0.0,negative,-0.9965
4053,Mermaids,Nick Cave & The Bad Seeds,0.0,negative,-0.6705
4054,Messed Up Kids,Jake Bugg,0.0,negative,-0.8271
4055,Messed Up World (F’d Up World),The Pretty Reckless,0.0,positive,0.9977
4056,Metal & Dust (X Factor Performance),London Grammar,0.0,negative,-0.9808
4057,Methademic,Black Sabbath,0.0,negative,-0.9579
4058,Metroland,Orchestral Manoeuvres In The Dark,0.0,neutral,0.34
4059,Michael and Maria,Steven Curtis Chapman,0.0,positive,0.9851
4060,Middle Fingers Up,Attila,0.0,negative,-0.9914
4061,Midnight Memories,One Direction,0.0,positive,0.7458
4062,Midnight Road,Rachel Farley,0.0,positive,0.8977
4063,MILF,"Big Sean, Nicki Minaj, Juicy J",0.0,negative,-0.9971
4064,Milk & Black Spiders,Foals,0.0,positive,0.9451
4065,Million Pound Girl (Badder Than Bad),Fuse ODG,0.0,positive,0.984
4066,Millionaire,Scouting For Girls,0.0,positive,0.9875
4067,Mind Your Manners,Pearl Jam,0.0,positive,0.9068
4068,Mine (feat. Drake),"Beyoncé, Drake",1.0,positive,0.9753
4069,Mine Would Be You,Blake Shelton,1.0,positive,0.98
4070,Minefield,Babyshambles,0.0,negative,-0.9519
4071,Minnie,Sleigh Bells,0.0,negative,-0.9924
4072,Miracle,Hurts,0.0,positive,0.9975
4073,Miracle Mile,Cold War Kids,0.0,positive,0.9951
4074,Mirrors,Justin Timberlake,1.0,positive,0.9999
4075,Mirror - From “The Hunger Games: Catching Fire” Soundtrack,Ellie Goulding,0.0,positive,0.6216
4076,Misery Chain (feat. Joy Williams),"Chris Cornell, Joy Williams",0.0,negative,-0.9829
4077,Miss America,James Blunt,0.0,negative,-0.9355
4078,Miss Jackson (feat. LOLO),"Panic! At The Disco, LOLO",1.0,negative,-0.9625
4079,Miss Missing You,Fall Out Boy,0.0,negative,-0.8684
4080,Miss Movin' On,Fifth Harmony,1.0,positive,0.9847
4081,Miss You,Darius Rucker,0.0,positive,0.814
4082,Mission Bells,Matt Nathanson,0.0,negative,-0.9501
4083,Mission Sunset,Palms,0.0,negative,-0.9339
4084,Mississippi in July,Charlie Worsham,0.0,positive,0.9923
4085,Mo Money - Interlude,J. Cole,0.0,negative,-0.7015
4086,Modern Jesus,Portugal. The Man,0.0,positive,0.9399
4087,Modern Magic Formula,Biffy Clyro,0.0,neutral,0.1655
4088,Mojo Man,Jimi Hendrix,0.0,positive,0.8299
4089,Molly,"Tyga, Cedric Gervais, Wiz Khalifa, Mally Mall",1.0,positive,0.7205
4090,Mon Raymond,Carla Bruni,0.0,neutral,-0.4404
4091,Monomania,Deerhunter,0.0,negative,-0.9466
4092,Monster,Imagine Dragons,1.0,negative,-0.9124
4093,Moon,Foals,0.0,positive,0.5423
4094,More Than Anything (feat. Emeli Sandé),"Rudimental, Emeli Sandé",0.0,positive,0.994
4095,More Than Words,Brian McKnight,0.0,positive,0.9246
4096,Morning Song,The Avett Brothers,0.0,negative,-0.9637
4097,Mosh Pit (feat. Dizzee Rascal & Ty Dolla $ign),"Tinie Tempah, Dizzee Rascal, Ty Dolla $ign",0.0,negative,-0.9776
4098,Mosquito,Yeah Yeah Yeahs,0.0,negative,-0.9984
4099,Mother Like Mine,The Band Perry,0.0,positive,0.9288
4100,Mother Tongue,White Lies,0.0,neutral,0.3919
4101,Motorway,Little Boots,0.0,positive,0.9894
4102,Mountains Of Sorrow,Amos Lee,0.0,negative,-0.9748
4103,Mouth on Me,I Am Kloot,0.0,neutral,-0.4137
4104,Move,Little Mix,0.0,positive,0.9977
4105,Move,Parmalee,0.0,positive,0.9909
