title,artist
Underneath,Adam Lambert
Underwater Bimbos From Outer Space,Every Time I Die
Undone,No Doubt
Unfold,The xx
Unhappy is the Only Happy That You'll Ever Be,Matthew Pryor
Unity,Shinedown
Unknow,The Maccabees
Unstable,Anberlin
Until It Breaks,Linkin Park
Up All Night,Kip Moore
Up In Flames,Nicki Minaj
Up In It,Wiz Khalifa
Us & Ourselves,Morning Parade
Use Me,Miguel
V.I.P.,Sinéad O'Connor
Va Va Voom,Nicki Minaj
Valentine,Fiona Apple
Valley of the Dolls,Marina
Valtari,Sigur Rós
Van Fan Gor Du,Friends
Vanishing Mind,Calexico
Vegas Girl,Conor Maynard
Victimized,Linkin Park
Violence (Enough Is Enough),A Day to Remember
Violet Rays,Smashing Pumpkins
Visa,Tulisa
Vision of Love,Kris Allen
Vultures,Labrinth
Waiting,Geoff Tate
Waiting for the Night,Nelly Furtado
Wake,Demon Hunter
Wake Up,Two Door Cinema Club
Walk Like a Giant,Neil Young & Crazy Horse
Walk Of Shame,Pink
Walk Over Me,The All-American Rejects
Walk the Edge,Shadows Fall
Walking Away,Jason Aldean
Walking On Air,Anise K
War of Change,Thousand Foot Krutch
Warm Smiles Do Not Make You Welcome Here,Enter Shikari
Warrior,Kesha
Wasted,Lukas Nelson and Promise of the Real
Wasted Years,Maroon 5
Watch How You Go,Keane
Watch The Show,M. Ward
Watch The World End,Trace Adkins
Watching You Watch Him,Eric Hutchinson
Watchtower,Devlin
Water Tower,Jason Aldean
We All Fall Down,Aerosmith
We Are,Thousand Foot Krutch
We Are,Hollywood Undead
We Are Alive,Bruce Springsteen
We Are Fine,Sharon Van Etten
We Are Here,Randy Stonehill and Buck Storm
We Are Never Ever Getting Back Together,Taylor Swift
We Are Trayvon,Plies
We Both Know,Colbie Caillat
We Bring an Arsenal,Lostprophets
We Can't Be Beat,The Walkmen
We Don't Care,Demon Hunter
We Don't Grow Tobacco,Old Crow Medicine Show
We In This Bitch,DJ Drama
We Might Be Dead by Tomorrow,Soko
We Take Care of Our Own,Bruce Springsteen
We Will Roam,Slash
We'll Be Coming Back,Calvin Harris
Weapons,Lostprophets
Weave On,Serj Tankian
Wedding Party,Paul Buchanan
Weep Themselves To Sleep,Jack White
Weirdo,The Vaccines
Welcome To The Ball,Rufus Wainwright
Welcome To The Fishbowl,Kenny Chesney
Went Away,The Maccabees
Werewolf,Fiona Apple
What a Buzz,Olly Murs
What About Us,The Saturdays
What Could Have Been Love,Aerosmith
What Happened to U,Usher
What I Wouldn't Do,Serena Ryder
What If I Was Nothing,All That Remains
What It Look Like,Curren$y
What It Takes,Montgomery Gentry
What Love Is This,Kari Jobe
What Makes a Good Man,The Heavy
What Now,Rihanna
What To Keep And What To Throw Away,Mary Chapin Carpenter
What's Patsy Cline Doing These Days Pts. I & II,Marvin Etzioni
Wheels Rollin',Jason Aldean
When Can I See You Again?,Owl City
When I Saw You Leaving (For Nisey),Alan Jackson
When I Was Young,Nada Surf
When I Was Your Man,Bruno Mars
When I'm Gone,Joey + Rory
When It's All Over,Alicia Keys
When She Says Baby,Jason Aldean
When She Was Mine,Lawson
When You Gonna Come Around,Dierks Bentley
When Your Garden's Overgrown,Paul Weller
Where Are You (B.o.B vs. Bobby Ray),B.o.B
Where Are You Now?,Mumford & Sons
Where Did The Beat Go?,Pink
Where I Come From,Passion Pit
Where I Sleep,Emeli Sandé
Where In The Hell Did You Go With My Toothbrush,The Reverend Horton Heat
Where My Heart Belongs,Gloriana
Where We Gonna Go,Jon and Roy
Where We Left Off,Hunter Hayes
Where's God?,Insane Clown Posse
Where's Tammy Wynette,Kellie Pickler
Where's the Fun in Forever,Miguel
Wherever I Go,Buckcherry
Wherever You Are,Lil' Twist
Wherever You Are,Kesha
While He Still Knows Who I Am,Kenny Chesney
Whip It,Nicki Minaj
Whiskey Kind of Way,Jerrod Niemann
Whispers in the Dark,Mumford & Sons
Whistle,Flo Rida
White,Frank Ocean
White Dress,Kanye West
White Flag,Dave Barnes
White Light,George Michael
White Walls,Macklemore & Ryan Lewis
White Wind,School of Seven Bells
Who,David Byrne / St. Vincent
Who Am I Drinking Tonight?,Edens Edge
Who Am I Now?,Air
Who Are You,Carrie Underwood
Who We Are,Uncle Kracker
Who's Thinking About You Now?,Jason Mraz
Whore,In This Moment
Why Am I the One,Fun.
Why'd You Have to Be So Good,Heidi Newfield
Wicked Games,The Weeknd
Wide Awake,Katy Perry
Wide Eyed,Animal Collective
Wild For The Night,A$AP Rocky
Wild In Your Smile,Dustin Lynch
Wildest Dreams,Brandy
Wildest Moments,Jessie Ware
Wildflower,Smashing Pumpkins
Wildside,T.I.
Window Seat,Our Lady Peace
Windows Down,Big Time Rush
Windup Robot,VCMG
Wine After Whiskey,Carrie Underwood
Wing$,Macklemore & Ryan Lewis
Wings,Little Mix
Winner,The Noisettes
Winner,Pet Shop Boys
Wiseman,Frank Ocean
Wish Them Well,Rush
Wish U Were Here,Cody Simpson
Wishes,Beach House
With A Woman,The Darkness
Wobble,Travis Porter
Wolf,First Aid Kit
Wolf's Law,The Joy Formidable
Woman Down,Alanis Morissette
Woman to Woman,Keyshia Cole
Won't Make A Fool Out of You,Marcus Canty
Wonder,Naughty Boy
Wonderful,Angel
Wonderful Life,Estelle
Wonderful Life,T.I.
Wonderland,Kesha
Words,Hawk Nelson
Work,The 2 Bears
Work Hard Play Hard,Wiz Khalifa
World,Richie Sambora
World Scum,Soulfly
Worry Walks Beside Me,Michael Kiwanuka
Wrecking Ball,Bruce Springsteen
Wrecking Ball,Aubrey O'Day
Wrecking Ball Heart,Jack's Mannequin
Write This Down,Maxïmo Park
Write This Number Down,Dar Williams
Wrong Side of a Love Song,Melanie Fiona
X-Kid,Green Day
Y.O.U,Violet
"Ye, Renew the Plaintiff",Of Montreal
Yeah Dats Me,Big K.R.I.T.
Yeah Yeah,Willy Moon
Yet Again,Grizzly Bear
You,Raghav
You,The 1975
You Ain't Alone,Alabama Shakes
You Ain't Alone,Toby Keith
You and Me,Sara Watkins
You Are I Am,MercyMe
You Are My Everything,Third Day
You Are Young,Keane
You Before Me,Hoobastank
You Bring Me Joy,Amelia Lily
You Call Me a Bitch Like It's a Bad Thing,Halestorm
You Can Only Get So High,Richie Sambora
You Lost Me,Sleigh Bells
You Possess Me,Marvin Etzioni
You Were Young,The Dead Ships
You Will Ride With Me Tonight,Dar Williams
You're A Lie,Slash
You're All My Little Monsters,Lady Gaga
You're Gonna Love This,3OH!3
You're My Song,A Rocket to the Moon
You've Got It,Bruce Springsteen
Young,Tulisa
Young Forever,Nicki Minaj
Young Girls,Bruno Mars
"Young, Sexy and Single",Rita Ora
Youngblood,3OH!3
Your Body,Christina Aguilera
Your Early Stuff,Pet Shop Boys
Your Love,Ashley Waters
Your Plan,Dustin Lynch
Your Side Of The Bed,Little Big Town
Youth in Revolt,Candlebox
Youth Without Youth,Metric
Yuck!,2 Chainz
¿Which Side Are You On?,Ani DiFranco
…Meltdown,Enter Shikari
#Beautiful,Mariah Carey
﻿#GETITRIGHT,Miley Cyrus
#thatPower,will.i.am
(800) HUMAN,Darwin Deez
(I Miss The) Tokyo Skyline,Manic Street Preachers
(You Will) Set the World On Fire,David Bowie
...As the Crow Flies,Newsted
1 Train,A$AP Rocky
11,Cassadee Pope
11:59,Michael Franti & Spearhead
14,Palma Violets
17,Avril Lavigne
17 Crimes,AFI
18 Years,DAUGHTRY
19 You + Me,Dan + Shay
1972,Jake Owen
2013,Primal Scream
23,Mike WiLL Made It
23 Degrees And South,Billy Currington
24,Sleigh Bells
3 AM,Kate Nash
3 Ways To See Despair,Manic Street Preachers
30 Year War,Manic Street Preachers
3000 Miles,Emblem3
3005,Childish Gambino
305 to My City,Drake
3:16AM,Jhené Aiko
4 Carats,Kelly Clarkson
4 Lonely Roads,Manic Street Preachers
4 the Rest of My Life,Robin Thicke
40 Acres,Pusha T
4x4,Miley Cyrus
5 Minutes,Tinie Tempah
50 Plates,Rich Gang
57 Bel Air,Heidi Feek
5AM,Katy B
5AM In Toronto,Drake
88,Wale
8:18,The Devil Wears Prada
_Arc_,Everything Everything
A Case for Shame,Moby
A Certain Light,Josh Ritter
A Couple of Forevers,Chrisette Michele
A Door Into Summer,Joe Satriani
A Girl And His Cat,Biffy Clyro
A Hot Minute,Lisa Loeb
A House Divided,Megadeth
A Life Embossed,Protest the Hero
A Light That Never Comes,Linkin Park
A Little Party Never Killed Nobody (All We Got),Fergie
A Love Like War,All Time Low
A Song About Love,Jake Bugg
A Tattered Line of String,The Postal Service
A Ton of Love,Editors
A Tooth For An Eye,The Knife
A Town Called Jubilee,Elton John
A Wolf Amongst Ravens,After the Burial
A World Without,Queensrÿche
A--hole,Eminem
A.M.,Chris Young
About Farewell,Alela Diane
About That Life,Attila
Above And Beyond,Deep Purple
Acapella,Karmin
Accident Without Emergency,Biffy Clyro
Accidental Racist,Brad Paisley
Acid Rain,Alexis Jordan
Acid Rain,Avenged Sevenfold
Addicted,Dani Clay
Addicted To Pain,Alter Bridge
Addicted to You,Avicii
Adore You,Miley Cyrus
Afraid,Neko Case
Afraid Of Heights,Wavves
After All,Michael Bublé
After The Fire,Andrew McMahon
After the Music's Stopped,Jake Owen
Afterglow,Wilkinson
Afterlife,Arcade Fire
Afterwards (Bring Yo Friends),Kid Cudi
Age Of Reason,Black Sabbath
Ain't Even Drinkin',Tyler Farr
Ain't It Fun,Paramore
Ain't No Hat 4 That,Robin Thicke
Ain't That Some S--t (Interlude),J. Cole
Air,Buckcherry
Alice,Darwin Deez
Alien,Britney Spears
Alien Days,MGMT
Alive,Bo Bruce
Alive,Jessie J
Alive,Chase & Status
Alive Or Dead,Frownz
All About You,Birdy
All Alright,Zac Brown Band
All American Middle Class White Boy,Thomas Rhett
All Bad,Justin Bieber
All Cried Out,Kree Harrison
All Ends Well,Alter Bridge
All Flowers In Time Bend Towards The Sun,Jeff Buckley
All Hell Breaks Loose,Black Star Riders
All I Want,Kodaline
All I Want,B.o.B
All I've Ever Needed,AJ Michalka
All In The Wrist,Darwin Deez
All Is Forgiven,Jim James
All Lips Go Blue,HIM
All Me,Drake
All Night,Icona Pop
All Of Me,John Legend
All Or Nothing,Roll Deep
All That I've Got,Rebecca Ferguson
All That Matters,Justin Bieber
All the Love You Got,Diane Birch
All The Time,The Strokes
All The Time In The World,Deep Purple
All the Way Home,Tamar Braxton
All the Wrong Places,Example
All Things,Citizen Way
All Things All At Once,Tired Pony
All We Need Is An Island,Sammy Hagar
All Who Remain,Beware of Darkness
Alligator,Paul McCartney
Almost Home,Mariah Carey
Almost Is Never Enough,Ariana Grande
Alone,Falling in Reverse
Alone Together,Fall Out Boy
Along for the Ride,Dream Theater
Along for the Ride,Randy Houser
Already Callin' You Mine,Parmalee
Already Home,Hanson
Alvar,Goldfrapp
Always,Killswitch Engage
Always Be Your Girl,Celine Dion
Always There...In Our Hearts,The Flaming Lips
Amaze Me,Union J
Amen,Bon Jovi
American Girl,Bonnie McKee
American Noise,Skillet
Amidinine,Bombino
Amok,Atoms For Peace
Amy,Goodie Mob
And The Radio Played,Lady A
And the Snakes Start to Sing,Bring Me The Horizon
Andro Queen,Pixies
Angel,Depeche Mode
Animal,The Pigeon Detectives
Animals,Martin Garrix
Anklebiters,Paramore
Annabel,Goldfrapp
Annie I Owe You a Dance,Tim McGraw
Another Day Gone,Parmalee
Another Guy,Travis
Another Is Waiting,The Avett Brothers
Another Soulmate,Jane's Addiction
Another Spring,Blue Sky Riders
Another You,Orianthi
Antenna,Fuse ODG
Anthem For A Lost Cause,Manic Street Preachers
Antiphon,Midlake
Antivist,Bring Me The Horizon
Anxiety's Door,Merchandise
Any Weather (606 Version),Joan Jett
Anymore,Frank Turner
Anywhere But Here,Five Finger Death Punch
Applause,Lady Gaga
Appreciate,Paul McCartney
Arabella,Arctic Monkeys
Are You Getting Enough?,Professor Green
Are You In Love With a Notion?,The Courteeners
Are You Looking After Yourself,Courtney Barnett
Area 52,Yeah Yeah Yeahs
Armourland,Everything Everything
Artpop,Lady Gaga
As a Child,Portage and Main
As Holy As The Soil (That Buries Your Skin),Manic Street Preachers
Ascent Intro,Wiley
Ashley,Big Sean
Ashtrays and Heartbreaks,Snoop Lion
Asylum,John Legend
At Night In Dreams,White Denim
aTENTion,M.I.A.
Atlas,Coldplay
ATM Jam,Azealia Banks
Atmosphere,Kaskade
Attracting Flies,AlunaGeorge
Aura,Lady Gaga
Avant Gardener,Courtney Barnett
Avatar,Dayshell
Aw Naw,Chris Young
Awful Sound (Oh Eurydice),Arcade Fire
Axis,Pet Shop Boys
Ayatollah of Rock 'N' Rolla,Soulfly
AYO!,Andy Mineo
Baby Blue,King Krule
Baby I,Ariana Grande
Back Of My Hand,Ron Sexsmith
Back To Love,DJ Pauly D
Back To Love,Bobby V
Back To Me Without You,The Band Perry
Back To The Start (God's Great Dance Floor),Martin Smith
Back When We Were Beautiful,Emmylou Harris & Rodney Crowell
Backwaters,Drenge
Backyard Skulls,Frightened Rabbit
Bad,Wale
Bad Day,Justin Bieber
Bad Girl,Avril Lavigne
Bad Guy,Eminem
Bad Habit,Foals
Bagboy,Pixies
Ballroom Figured,Beady Eye
Bang Bang,will.i.am
Banga Banga,Austin Mahone
Bankrupt!,Phoenix
Baptized,DAUGHTRY
Barefoot and Buckwild,Lauren Alaina
Barriers,Suede
Bassline Junkie,Dizzee Rascal
Bathed in Grey,King Krule
Battle Born,Five Finger Death Punch
Battle Cry,Angel Haze
Battleships,DAUGHTRY
BBC,Jay-Z
Be Alone,Paramore
Beach Is Better,Jay-Z
Beachin',Jake Owen
Beat of the Music,Brett Eldredge
Beat The S--t,Lil Wayne
Beautiful Day,Joshua Radin
Beautiful Life,Union J
Beautiful Pain,2 Chainz
Beautiful Pain,Eminem
Beautiful War,Kings of Leon
Beauty In Tragedy,August Burns Red
Because We Can,Bon Jovi
Bed Peace,Jhené Aiko
Been Caught Cheating,Stereophonics
Beer In The Headlights,Luke Bryan
Before I Ever Met You,Banks
Before We Knew They Were Good,Toby Keith
Beginning of Sorrow,Megadeth
Behind Closed Doors,Pop Evil
Behind The Veil,Dream Theater
Being Pretty Ain't Pretty,Pistol Annies
Believe In Me,Bonnie Tyler
Believer,American Authors
Belong to the World,The Weeknd
Below The Line,Josh Groban
Berzerk,Eminem
Best Day of My Life,American Authors
Best I Ever Had,Gavin DeGraw
Best Of Times,Sheryl Crow
Best Song Ever,One Direction
Better,Maggie Rose
Better Left Unsaid,Ariana Grande
Better Man,Portage and Main
Better Not To Know,Amy Grant
Better Than Words,One Direction
"Better You, Better Me",Alicia Keys
Beware,Big Sean
Beyond,Daft Punk
Biblical,Biffy Clyro
Big Banana,Havana Brown
Big TV,White Lies
Big When I Was Little,Eliza Doolittle
Billion Lights,JLS
Birth,30 Seconds to Mars
Birthday,Katy Perry
Birthday in Los Angeles,The Maine
Bitter Rivals,Sleigh Bells
Black Bart,Volbeat
Black Belt,John Grant
Black Cat Bone,The Mission UK
Black Chandelier,Biffy Clyro
Black Dog Barking,Airbourne
Black Heart,Stone Temple Pilots
Black Nemo,Okkervil River
Black Out the Sun,Sevendust
Black Skinhead,Kanye West
Black Spot,Local Natives
Black Swan,Andrew Stockdale
Black Widow,Booty Luv
Black Widow,Cage the Elephant
Black-Hearted Woman,Cast of Stephen Ward the Musical
Blackbird,Dido
Blackest Crow,Megadeth
Blackout,Wretch 32
Blame It On Love,Los Lonely Boys
Blameless,Building 429
Bleed For Love,Jennifer Hudson
Bleed It Dry,Alter Bridge
Bleed Out,Blue October
Blind,Hurts
Blind Eye,Ron Sexsmith
Blk & Blu,Chase & Status
Blood Brothers,Luke Bryan
Blood Like Cream,Red Fang
Blood On The Leaves,Kanye West
Blood On The Snow,Erasure
Blood Red,The Maine
Bloodshed,Soulfly
Bloodsports,Drenge
Blow,Beyoncé
Blowin' Smoke,Kacey Musgraves
Blue,Beyoncé
Blue Crystal Glow,Jewel
Blue Ocean Floor,Justin Timberlake
Blue On Blue,James Blunt
"Blues, You're a Buzz Kill",Pistol Annies
Blurred Lines,Robin Thicke
Bodpa Tso,Kalsang Yarphel
Body Ache,Britney Spears
Body Party,Ciara
Bombs Away,Eels
Bones,Ginny Blackmore
Bonfire,Josh Ritter
Bonfire Heart,James Blunt
Book Of John,Tim McGraw
Book of Love,Jimmy Eat World
Boom Boom (Heartbeat),Ray Foxx
Boom Skit,M.I.A.
Boomerang,Nicole Scherzinger
Boomerang,Lyfe Jennings
Booyah,Showtek
Born in a UFO,David Bowie
Born Sinner,J. Cole
Bosco,Placebo
Boss of Me,David Bowie
Boston Square,Deaf Havana
Bounce,Iggy Azalea
Bounce It,Juicy J
Bound 2,Kanye West
Bound For Glory,Black Star Riders
Boundless (Time to Murder It),Hatebreed
Bourbon in Kentucky,Dierks Bentley
Bourgeois,Phoenix
Boxes,Travis
Boy,Nina Nesbitt
Boy Outta Here,Ciara
Boys 'Round Here,Blake Shelton
Boys in the Wood,Black Lips
Brainless,Eminem
Brand New Day,Kodaline
Brave,Josh Groban
Brave,Sara Bareilles
Brave This Storm,Trivium
Braveheart,Neon Jungle
Break Out,Scott Stapp
Break The Shell,India.Arie
Breakfast Can Wait,Prince
Breaking Point,Bullet For My Valentine
Breathe,Laura Marling
Breathe,Backstreet Boys
Breathe In Breathe Out,Tich
"Breathe, It's Over",Blue October
Brennisteinn,Sigur Rós
Bridges,Broods
Bridges,Rebecca Ferguson
Brightest Morning Star,Britney Spears
Brighton Beach,Rod Stewart
Bring On The Music,Gov't Mule
Bring The Noize,M.I.A.
Bring You Back,Brett Eldredge
Broken,Depeche Mode
Broken Arrows,DAUGHTRY
Broken Over You,Vertical Horizon
Broken Record,Little Boots
Brokenhearted,Lawson
Brother's Keeper,India.Arie
Brothers,Kid Cudi
Bubble Butt,Major Lazer
Bugatti,Ace Hood
Builder of Routines,Manic Street Preachers
Built For War,Megadeth
Bula Bula Quo (Kua Ni Lega),Status Quo
Bullet,Ryan Star
Bullets,I Am Kloot
Bully,Cat Power
Burgundy,Earl Sweatshirt
Buried Alive,Yeah Yeah Yeahs
Burn,Ellie Goulding
Burn It,Filter
Burn MF,Five Finger Death Punch
Burn!,Megadeth
Burnin' It Down,Steve Earle
Burning Lights,Chris Tomlin
Bury That,No Malice
"Busted, Disgusted or Dead",Leslie West
Butterfly,Tracy Lawrence
"Butterfly, How Long It Takes To Die",The Flaming Lips
Buzzcut Season,Lorde
Buzzin',Kellie Pickler
Buzzkill,Luke Bryan
By And Down,A Perfect Circle
By the Grace of God,Katy Perry
By the Throat,Chvrches
C'mon Kid,Dave Hause
C.L.A.,k-os
Cabaret,Justin Timberlake
Call a Marine,Toby Keith
Call Me Crazy,Sevyn Streeter
Calling All Hearts,DJ Cassidy
Calm The Fire,Alter Bridge
Came Back Haunted,Nine Inch Nails
Can We Dance,The Vamps
Can You Feel It,Scotty McCreery
Can You Feel My Heart,Bring Me The Horizon
Can't Believe It,Flo Rida
Can't Help,Parachute
Can't Keep Your Mind Off,Data Romance
Can't Live Without Your Love,Janelle Monáe
Can't Pretend,Tom Odell
Can't Stop Me Now,Rod Stewart
Cannibal Holocaust,Soulfly
Cannonball,Lea Michele
Cape Of Our Hero,Volbeat
Captive Bolt Pistol,Carcass
Car Radio,Twenty One Pilots
Carolina,Parmalee
Carolina Moon,Scotty McCreery
Carried,KT Tunstall
Carry Me,Josh Wilson
Carry on… Jon,Blackmore's Night
Carry You,Union J
Cassiopeia,Sara Bareilles
Castaway,Kris Kristofferson
Casual Affair,Panic! At The Disco
Catch Every Teardrop,Martin Smith
Caught Up,John Legend
Celebrate,Mack Maine
Cementality,King Krule
Chaining Day,J. Cole
Chainsaw,The Band Perry
Change,Jack Johnson
Change Me,Justin Bieber
Change Of Luck,Ministry
Change Your Life,Iggy Azalea
Chasing The Sun,Sara Bareilles
Cheating,John Newman
Chelsea's Hotel,Darwin Deez
Chemical Love Escape,Escape the Fate
Chemicals,Love and Death
Chez Keith et Anita,Carla Bruni
"Chicks, Trucks, and Beer",Tyler Farr
Children of the Sun,Tinie Tempah
Chill In The Air,Amos Lee
Chillin' It,Cole Swindell
Chillin' With You,Britney Spears
Chinese Food,Alison Gold
Chloe (You're The One I Want),Emblem3
Chloroform,Phoenix
Chocolate,The 1975
Choice Mountain,Everything Everything
Choke,Alice in Chains
Cholla,The Joy Formidable
Choose Your Battles,Katy Perry
Christmas In LA,The Killers
Chuckie's Gone,Toby Keith
Cigarette Daydreams,Cage the Elephant
Cinderella,Diana Vickers
Circles in Squares,Angel
City Electric,Anberlin
City of Angels,30 Seconds to Mars
City of Ocala,A Day to Remember
City's Full,Savages
Classic,MKTO
Clay,Goldfrapp
Claymation,Mac Miller
Clean Up,Danny Brown
Close Enough,Jason Michael Carroll
Close Your Eyes,Michael Bublé
Close Your Eyes,Parmalee
Closer To Heaven,Connor Cruise
Coast Is Clear,Seasick Steve
Coconut Tree,Kenny Chesney
Cold as War,Sevendust
Cold Beer Drinker,Luke Bryan
Cold Beer With Your Name On It,Josh Thompson
Collard Greens,ScHoolboy Q
Colossus,Of Montreal
Colour It,Helen Austin
Come a Little Closer,Cage the Elephant
Come and Get It,Selena Gomez
Come Back To Me,Keith Urban
Come Back To Me,HollySiz
Come Down to Us,Burial
Come To Me,The Goo Goo Dolls
Come Together,Sons Of The Sea
Come Walk With Me,M.I.A.
Come With Me,Ricky Martin
Comeback Story,Kings of Leon
Comfort Inn Ending (Freestyle),Jhené Aiko
Coming Home,Avenged Sevenfold
Coming Through,Willis Earl Beal
Compass,Lady A
Complicate You,Thousand Foot Krutch
Conduit,Funeral for a Friend
Confess to Me,Disclosure
Confident,Justin Bieber
Connect,Sick Puppies
Connect,Drake
Conquer the World,Jessie J
Conquistador,30 Seconds to Mars
Consumerism,Lauryn Hill
Contact,Daft Punk
Control,Big Sean
Control,Matrix & Futurebound
Cookie,R. Kelly
Cool,Le Youth
Cool Kids,Echosmith
Cool Song No. 2,MGMT
Cool Zombie,Adam Ant
Cop Car,Keith Urban
Copy Of A,Nine Inch Nails
Corsicana Lemonade,White Denim
Could Have Been Me,The Struts
Could It Be,Charlie Worsham
Count It All As Lost,August Burns Red
Count On Me,Chase & Status
Counting Stars,OneRepublic
Country On The Radio,Blake Shelton
Cover Me Up,Jason Isbell
Crash My Party,Luke Bryan
Crazy Ain't Original,Sheryl Crow
Creative Captivity,August Burns Red
Crescendo,Little Boots
Crescent Moon,KT Tunstall
Crickets,Joe Nichols
Crime,Mayer Hawthorne
Crimson Day,Avenged Sevenfold
Crooked Smile,J. Cole
Crooked Young,Bring Me The Horizon
Crown,Jay-Z
Crown Him (Majesty),Chris Tomlin
Cry,Anna Calvi
Cry A River,Alter Bridge
Cry Cry,Stone Temple Pilots
Cry of Achilles,Alter Bridge
Cry to The World,Renaissance
Culturecide,Primal Scream
Cut Her Off,K Camp
Cyrano Masochiste,Johnny Borrell & Zazou
D'Arline,The Civil Wars
Daddy Dance With Me,Krystal Keith
Daddy's Girl,Natalia Kills
Daedalus (What We Have),San Fermin
Damage,Red
Damage,Jimmy Eat World
Damaged,The Winery Dogs
Damaged Soul,Black Sabbath
Dance Apocalyptic,Janelle Monáe
Dance In The Rain,Megadeth
Dance The Pain Away,Benny Benassi
Dance Your Pain Away,Agnetha Fältskog
Dancing Out in Space,David Bowie
Dancing With The Devil,Krewella
Dangerous,Within Temptation
Daniel,Devendra Banhart
Dare You,Hardwell
Dark Horse,Katy Perry
Dark Side Of Me,Coheed and Cambria
Darling,Carla Bruni
Darte Un Beso,Prince Royce
Day Dream,Alexandra Burke
Day is Gone,Noah Gundersen
Day Of The Dead,Zac Brown Band
Daydreamin',Ariana Grande
Daydreaming,Paramore
Days And Days,Lil Wayne
Days Are Gone,Haim
Days Of Gold,Jake Owen
Dead City Radio and the New Gods of Supertown,Rob Zombie
Dead Man's Shoes,The Virginmarys
Dead Nature,Savages
Dead Now,Frightened Rabbit
Dead To The World,Bullet For My Valentine
Dead Weight,Crystal Bowersox
Deal With The Devil,Pop Evil
Dear Boy,Avicii
Dear Father,Black Sabbath
Dear Marie,John Mayer
Dear One,Jim James
Dear Sobriety,Pistol Annies
Death Comes To Us All,Funeral for a Friend
Death of a Married Man,Brad Paisley
Death Valley,Fall Out Boy
Deathbeds,Bring Me The Horizon
Decay,Sevendust
Deceiver Of The Gods,Amon Amarth
December's Traditions,Frightened Rabbit
Decimal,OMD
Deep As It Is Wide,Amy Grant
Deepens With Time,Ron Sexsmith
Deeper,Ella Eyre
Demons,The National
Dependency,Charlie Brown
Depuis Le Début,30 Seconds to Mars
Despair,Yeah Yeah Yeahs
Desperation,Eminem
Destiny Bends,RZA
Devil's Backbone,The Civil Wars
Devil's Resting Place,Laura Marling
Diana,One Direction
Diane Young,Vampire Weekend
Did You Hear The Rain?,George Ezra
Didn't Mean To Fall In Love,Boston
Didn't See It Coming,Parachute
Die For You,Red
Different People,Biffy Clyro
Digital Lion,James Blake
Dip,Danny Brown
Dirt Road Diary,Luke Bryan
Dirty Beast,Adam Ant
Dirty Boys,David Bowie
Dirty Gold,Angel Haze
Dirty Laundry,Kelly Rowland
Disco Love,The Saturdays
Disconnect,After the Burial
Division Street,Harper Simon
Dixie Cleopatra,Harper Simon
DNA,Empire of the Sun
Do I Wanna Know?,Arctic Monkeys
Do Me A Favor,Stone Sour
Do My Thang,Miley Cyrus
Do Or Die,30 Seconds to Mars
Do What U Want,Lady Gaga
Do You Remember,Blake Shelton
Do You Want to Build A Snowman?,"Kristen Bell, Agatha Lee Monn, and Katie Lopez"
Doc Holliday,Volbeat
Doin' It Right,Daft Punk
Doin' It Right,Rodney Atkins
Doin' What She Likes,Blake Shelton
Doing OK,Wretch 32
Doing Time,Avenged Sevenfold
Don't Believe a Thing I Say,Jack Johnson
Don't Brother Me,Beady Eye
Don't Cry,Britney Spears
Don't Ever Let Me Go,Leslie West
Don't Forget Where You Belong,One Direction
Don't Forget Who You Are,Miles Kane
Don't Hold The Wall,Justin Timberlake
Don't Let Me Be Lonely,The Band Perry
Don't Lie,Vampire Weekend
Don't Matter,Kings of Leon
Don't Pray For Me,Asking Alexandria
Don't Sell Out,Tinie Tempah
Don't Swallow the Cap,The National
"Don't Talk About Him, Tina",Pistol Annies
Don't Think They Know,Chris Brown
Don't Try,Everything Everything
Don't Try So Hard,Amy Grant
Don't Turn Your Back…,Megadeth
Done For You,Black Veil Brides
DONE.,The Band Perry
Dope,Tyga
Dope,Lady Gaga
Dorothy Dandridge Eyes,Janelle Monáe
Double Rainbow,Katy Perry
Down Boy,Kele Okereke
Down Down the Deep River,Okkervil River
Down On Love,Kelly Rowland
Downtown,Lady A
Drakkar Noir,Phoenix
Drawn & Quartered,HIM
Dream #3,Elton John
Dreamin' of You,Buckcherry
Dreams,Blue Sky Riders
Dreams Of The San Joaquin,Kenny Rogers
Dressed To Kill,Cher
Drink a Beer,Luke Bryan
Drink to That All Night,Jerrod Niemann
Drink You Away,Justin Timberlake
Drinkin',Holly Williams
Drinks After Work,Toby Keith
Drive,Kids in Glass Houses
Drive,Miley Cyrus
Drive You Home,Parachute
Drop That #NaeNae,We Are Toonz
Drove Me Wild,Tegan and Sara
Drowning,Tech N9ne
Drunk In Love,Beyoncé
Drunk Last Night,Eli Young Band
Drunken Hearts,Wallpaper.
Dry Your Eyes,Texas
Duet,Everything Everything
Dumb,Tich
Dust To Dust,The Civil Wars
Dyin' Since The Day I Was Born,Leslie West
Dying Inside,Gary Barlow
Dying To Live,Scott Stapp
E Ti Prometerro,Josh Groban
Early Days,Paul McCartney
Earth Rocker,Clutch
Earthly Pleasure,Villagers
Earthquake,DJ Fresh Vs Diplo
Easy,Sheryl Crow
Easy,Mat Zo and Porter Robinson
Easy Easy,King Krule
